"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"143255",211846,"col","",10.63,45.93,"Prezzo, Judicarien (archelaus Zone)",NA,"",15,"Ladinian","",242,237,73139,"gp_mid",34.22,16.99,"307",239.5,"ladinian",37595,14.9765,13.7033,46,1
"143259",211850,"col","Esino",9.36,45.98,"Val di Cino, Esino, Perledo",NA,"",24,"Ladinian","",242,237,73139,"gp_mid",33.84,17.8,"307",239.5,"ladinian",37596,19.0343,22.3004,46,1
"143277",211901,"col","",11.88,46.62,"Pescol, Abteythale",NA,"",9,"Ladinian","",242,237,73139,"gp_mid",35.27,16.55,"307",239.5,"ladinian",37608,19.3809,25.8877,46,1
"143318",211966,"col","Bravaisberget",13.88,78.1,"Fossilniveau 41",NA,"",2,"Ladinian","",242,237,73252,"gp_mid",16.59,56.64,"309",239.5,"ladinian",37619,-8.0902,46.5857,46,1
"143319",211967,"col","Bravaisberget",13.88,78.1,"Fossilniveau 40",NA,"",2,"Ladinian","",242,237,73252,"gp_mid",16.59,56.64,"309",239.5,"ladinian",37619,-8.0902,46.5857,46,1
"143321",211969,"col","Botneheia",15.29,78.58,"Unterhalb 358m Kongressfjellet",NA,"",1,"Ladinian","",242,237,73249,"gp_mid",16.65,57.2,"309",239.5,"ladinian",37621,-8.0902,46.5857,46,1
"143326",211974,"col","Botneheia",15.29,78.58,"420-435 m",NA,"",1,"Ladinian","",242,237,73249,"gp_mid",16.65,57.2,"309",239.5,"ladinian",37621,-8.0902,46.5857,46,1
"143327",211975,"col","Botneheia",15.29,78.58,"445-460 m",NA,"",1,"Ladinian","",242,237,73249,"gp_mid",16.65,57.2,"309",239.5,"ladinian",37621,-8.0902,46.5857,46,1
"143328",211976,"col","Botneheia",15.29,78.58,"460-470 m",NA,"",1,"Ladinian","",242,237,73249,"gp_mid",16.65,57.2,"309",239.5,"ladinian",37621,-8.0902,46.5857,46,1
"143349",211997,"col","Kapp Toscana",16.48,78.33,"180-190 m",NA,"",1,"Ladinian","",242,237,73249,"gp_mid",17.25,57.1,"309",239.5,"ladinian",37625,-8.0902,46.5857,46,1
"143361",212009,"col","",11.95,46.66,"Wengen / La Valle, Abteythale",NA,"",8,"Ladinian","",242,237,73139,"gp_mid",35.32,16.52,"307",239.5,"ladinian",37631,19.3809,25.8877,46,1
"143362",212011,"col","",12.04,46.29,"Agordo",NA,"",6,"Ladinian","",242,237,73139,"gp_mid",35.01,16.29,"307",239.5,"ladinian",37632,19.3809,25.8877,46,1
"143363",212012,"col","",10.15,46.03,"Val Paludina near Schilpario, Val di Scalve",NA,"",10,"Ladinian","",242,237,73139,"gp_mid",34.14,17.33,"307",239.5,"ladinian",37633,14.9765,13.7033,46,1
"143364",212013,"col","",10.61,45.98,"Doss dei Morti",NA,"",5,"Ladinian","",242,237,73139,"gp_mid",34.24,17.03,"307",239.5,"ladinian",37634,14.9765,13.7033,46,1
"143416",212079,"col","Kapp Toscana",16.86,78.27,"Vikinghogda (Deltadalen?) B1960-1",NA,"",3,"Ladinian","",242,237,73264,"gp_mid",17.43,57.08,"309",239.5,"ladinian",37644,-8.0902,46.5857,46,1
"143417",212080,"col","Kapp Toscana",16.86,78.27,"Vikinghogda (Deltadalen?) B1972-4",NA,"",1,"Ladinian","",242,237,73264,"gp_mid",17.43,57.08,"309",239.5,"ladinian",37644,-8.0902,46.5857,46,1
"143418",212081,"col","Kapp Toscana",16.86,78.27,"Vikinghogda (Deltadalen?) B1966-B",NA,"",1,"Ladinian","",242,237,73264,"gp_mid",17.43,57.08,"309",239.5,"ladinian",37644,-8.0902,46.5857,46,1
"143431",212094,"col","Kapp Toscana",16.45,78.33,"Botneheia, B1925",NA,"",1,"Ladinian","",242,237,73264,"gp_mid",17.25,57.09,"309",239.5,"ladinian",37646,-8.0902,46.5857,46,1
"143432",212095,"col","Kapp Toscana",16.45,78.33,"Botneheia, B2084",NA,"",1,"Ladinian","",242,237,73264,"gp_mid",17.25,57.09,"309",239.5,"ladinian",37646,-8.0902,46.5857,46,1
"143433",212096,"col","Kapp Toscana",16.45,78.33,"Botneheia, B2009-18",NA,"",5,"Ladinian","",242,237,73264,"gp_mid",17.25,57.09,"309",239.5,"ladinian",37646,-8.0902,46.5857,46,1
"143434",212097,"col","Kapp Toscana",16.45,78.33,"Botneheia, B1921-2",NA,"",1,"Ladinian","",242,237,73264,"gp_mid",17.25,57.09,"309",239.5,"ladinian",37646,-8.0902,46.5857,46,1
"143435",212098,"col","Kapp Toscana",16.45,78.33,"Botneheia, B2085",NA,"",1,"Ladinian","",242,237,73264,"gp_mid",17.25,57.09,"309",239.5,"ladinian",37646,-8.0902,46.5857,46,1
