"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"90520",173646,"col","",117.297501,-0.322028,"TF56 Samarinda",NA,"Badak South",1,"Langhian","",15.97,13.82,56099,"gp_mid",121.04,-0.59,"620",1,14.895,"langhian",1
"90557",174139,"col","",142.026718,-37.776279,"Muddy Creek",NA,"",62,"Langhian","",15.97,13.82,56777,"gp_mid",145.11,-46.13,"801",1,14.895,"langhian",1
"91555",176281,"col","Fyansford",144.34166,-38.174999,"PL 3040 - Belmont Shaft, 60 ft up section",NA,"",1,"Langhian","",15.97,13.82,57935,"gp_mid",147.8,-46.28,"801",1,14.895,"langhian",1
"91561",176298,"col","Gellibrand",146.083328,-36.575001,"PL3043 Kennedy Creek cutting",NA,"",2,"Langhian","",15.97,13.82,18301,"gp_mid",149.44,-44.51,"801",1,14.895,"langhian",1
"91562",176299,"col","Port Campbell Limestone",141.933334,-37.724998,"Clifton Bank",NA,"Muddy Creek",7,"Langhian","",15.97,13.82,18301,"gp_mid",144.99,-46.09,"801",1,14.895,"langhian",1
"91619",176558,"col","Higashi-lnnai",137.174438,37.49472,"Locality No. 30. Road side cutting near Koeiji Temple, Otani, Suzu City",NA,"",23,"Langhian","",15.97,13.82,58160,"gp_mid",134.61,37.25,"610",1,14.895,"langhian",1
"91637",176772,"col","Fyansford",143.986664,-38.051666,"Red Bluff",NA,"",1,"Langhian","",15.97,13.82,58317,"gp_mid",147.37,-46.2,"801",1,14.895,"langhian",1
"92035",177710,"col","Fyansford",144.280563,-38.092499,"Batesford Quarry, Portland Cement Ltd",NA,"",1,"Langhian","",15.97,13.82,58797,"gp_mid",147.71,-46.21,"801",1,14.895,"langhian",1
"92185",178112,"col","Baldissero",7.758333,45.033333,"Villa Allason, Torvino Hills",NA,"",127,"Langhian","",15.97,13.82,58924,"gp_mid",10.47,41.61,"307",1,14.895,"langhian",1
"92186",178116,"col","Baldissero",7.708333,45.016666,"Villa Allason, Torvino Hills",NA,"",136,"Langhian","",15.97,13.82,58924,"gp_mid",10.43,41.59,"307",1,14.895,"langhian",1
"92187",178114,"col","Baldissero",7.745833,45.033333,"Villa Forzano, Torvino Hills",NA,"",97,"Langhian","",15.97,13.82,58924,"gp_mid",10.46,41.61,"307",1,14.895,"langhian",1
"92329",178322,"col","Baldissero",7.816667,45.066666,"Baldissero, Collines de Turin",NA,"",7,"Langhian","",15.97,13.82,58437,"gp_mid",10.53,41.64,"307",1,14.895,"langhian",1
"92426",178522,"col","Baldissero",7.716667,45.049999,"Rio della Batteria, Val Salice, Calli Torinesi",NA,"",4,"Langhian","",15.97,13.82,59065,"gp_mid",10.44,41.63,"307",1,14.895,"langhian",1
"93239",179842,"col","Port Campbell Limestone",141.936005,-37.743,"Muddy Creek (AUGD collection)",NA,"",1,"Langhian","",15.97,13.82,13527,"gp_mid",145,-46.1,"801",1,14.895,"langhian",1
"93244",179848,"col","Kimachi",133.035004,35.43,"Iwayamae, Tamatsukuri-town, Yatsuka-gun",NA,"",1,"Langhian","",15.97,13.82,59662,"gp_mid",130.63,35.02,"610",1,14.895,"langhian",1
"93247",179851,"col","Shimo",135.509995,35.514999,"Ogurui, Takahama, Fukui Prefecture",NA,"",1,"Langhian","",15.97,13.82,59662,"gp_mid",133.08,35.21,"610",1,14.895,"langhian",1
"93249",179853,"col","Togane",132.119995,34.939999,"Senjojiki of Togane, near Hamada, Iwami Province, Shimane Prefecture",NA,"",1,"Langhian","",15.97,13.82,59667,"gp_mid",129.75,34.49,"610",1,14.895,"langhian",1
"93258",179862,"col","",-1.26,43.625,"Saint-Jean-de-Marsacq (NHM Bordeaux collection)",NA,"",1,"Langhian","",15.97,13.82,59706,"gp_mid",0.98,41.14,"305",1,14.895,"langhian",1
"93262",179866,"col","",-1.315,43.610001,"Saubrigues (Bordeaux collection)",NA,"",2,"Langhian","",15.97,13.82,59706,"gp_mid",0.93,41.12,"305",1,14.895,"langhian",1
"93263",179867,"col","",131.834,34.662998,"Northeast of Dasai Shrine, Masuda City",NA,"",1,"Langhian","",15.97,13.82,59672,"gp_mid",129.48,34.2,"610",1,14.895,"langhian",1
"93264",179868,"col","Itabashi",133.035995,34.856499,"Road cliff at Shinjo-cho, Shobara City",NA,"",8,"Langhian","",15.97,13.82,59673,"gp_mid",130.66,34.44,"610",1,14.895,"langhian",1
"93265",179869,"col","Itabashi",133.016006,34.864498,"Saijo River, 4-chome, Higashihonmachi",NA,"",8,"Langhian","",15.97,13.82,59673,"gp_mid",130.64,34.45,"610",1,14.895,"langhian",1
"93266",179870,"col","Kadoyama",131.035995,34.380501,"West end of Kakebuchi, Yuya-cho, Yamaguchi Prefecture",NA,"",1,"Langhian","",15.97,13.82,59674,"gp_mid",128.71,33.88,"610",1,14.895,"langhian",1
"93329",179944,"col","",144.942993,-37.785999,"Flemington",NA,"",1,"Langhian","",15.97,13.82,57704,"gp_mid",148.4,-45.83,"801",1,14.895,"langhian",1
"93333",179948,"col","Port Campbell Limestone",141.936005,-37.743,"Muddy Creek, lower bed (Chapman collection)",NA,"",3,"Langhian","",15.97,13.82,59709,"gp_mid",145,-46.1,"801",1,14.895,"langhian",1
"93342",179957,"col","Port Campbell Limestone",141.933334,-37.724998,"Clifton Bank, Muddy Creek (lower blue marls)",NA,"",5,"Langhian","",15.97,13.82,59709,"gp_mid",144.99,-46.09,"801",1,14.895,"langhian",1
"93343",179958,"col","Port Campbell Limestone",141.933334,-37.724998,"Clifton Bank, Muddy Creek (Dennant collection)",NA,"",6,"Langhian","",15.97,13.82,38987,"gp_mid",144.99,-46.09,"801",1,14.895,"langhian",1
"93350",180100,"col","Port Campbell Limestone",141.936005,-37.743,"Muddy Creek (Tenison-Woods collection)",NA,"",2,"Langhian","",15.97,13.82,26424,"gp_mid",145,-46.1,"801",1,14.895,"langhian",1
"93351",180101,"col","Port Campbell Limestone",141.936005,-37.743,"Muddy Creek (F.A. Singleton collection)",NA,"",1,"Langhian","",15.97,13.82,59647,"gp_mid",145,-46.1,"801",1,14.895,"langhian",1
"93352",180102,"col","Port Campbell Limestone",141.936005,-37.743,"Muddy Creek (UWA collection)",NA,"",1,"Langhian","",15.97,13.82,59647,"gp_mid",145,-46.1,"801",1,14.895,"langhian",1
"93354",180104,"col","Port Campbell Limestone",141.933334,-37.724998,"Clifton Bank, Muddy Creek (NZGS collection)",NA,"",1,"Langhian","",15.97,13.82,59708,"gp_mid",144.99,-46.09,"801",1,14.895,"langhian",1
"93420",180409,"col","Güines",-81.581001,23.058001,"Yumurí Gorge near Matanzas",NA,"",1,"Langhian","",15.97,13.82,59868,"gp_mid",-76.13,25.14,"206",1,14.895,"langhian",1
"93467",180455,"col","Baldissero",7.76,45.049999,"Collina di Torino (CAS collection)",NA,"",1,"Langhian","",15.97,13.82,54367,"gp_mid",10.48,41.62,"307",1,14.895,"langhian",1
"93668",181267,"col","Yoshino",133.96666,35.049999,"Tsuyama, KA-T2 locality",NA,"",1,"Langhian","",15.97,13.82,60261,"gp_mid",131.58,34.68,"610",1,14.895,"langhian",1
"96251",187324,"col","Calvert",-76.83139,38.163334,"Stratford Hall, Langhian, Zones 15A-B",NA,"",75,"Langhian","",15.97,13.82,62831,"gp_mid",-69.78,39.85,"109",1,14.895,"langhian",1
"96446",188087,"col","Argun",36.470001,45.450001,"Malyi Kamyshlak, Kerch, Crimea (PIN collection 4204)",NA,"",3,"Langhian","",15.97,13.82,63111,"gp_mid",37,42.31,"302",1,14.895,"langhian",1
"96617",188758,"col","Okoppezawa",143.774994,42.825001,"Okoppezawa River",NA,"",1,"Langhian","",15.97,13.82,67285,"gp_mid",140.8,42.86,"609",1,14.895,"langhian",1
"97349",190756,"col","Akaura",136.955002,37.044998,"Nanao girls higher school, Kasima-gun",NA,"",6,"Langhian","",15.97,13.82,64049,"gp_mid",134.42,36.8,"610",1,14.895,"langhian",1
"97350",190757,"col","Akaura",136.953003,37.037998,"Iwaya, Kasima-gun",NA,"",5,"Langhian","",15.97,13.82,64049,"gp_mid",134.42,36.79,"610",1,14.895,"langhian",1
"97351",190758,"col","Akaura",136.960007,37.064999,"Osugi-saki, Kasima-gun",NA,"",2,"Langhian","",15.97,13.82,64049,"gp_mid",134.42,36.82,"610",1,14.895,"langhian",1
"97352",190759,"col","Suenomatsuyama",141.300003,40.279999,"Hukuoka, Ninohe-gun (upper zone)",NA,"",4,"Langhian","",15.97,13.82,64049,"gp_mid",138.52,40.21,"610",1,14.895,"langhian",1
"97353",190760,"col","Suenomatsuyama",141.300003,40.279999,"Hukuoka, Ninohe-gun (middle zone)",NA,"",2,"Langhian","",15.97,13.82,64049,"gp_mid",138.52,40.21,"610",1,14.895,"langhian",1
"97354",190761,"col","Suenomatsuyama",141.300003,40.279999,"Hukuoka, Ninohe-gun (lower zone)",NA,"",3,"Langhian","",15.97,13.82,64049,"gp_mid",138.52,40.21,"610",1,14.895,"langhian",1
"97358",190765,"col","Moniwa",140.759995,38.215,"Akaisi, Natori-gun",NA,"",1,"Langhian","",15.97,13.82,64049,"gp_mid",138.13,38.13,"610",1,14.895,"langhian",1
"97359",190766,"col","Moniwa",140.779999,38.23,"Moniwa, Natori-gun",NA,"",2,"Langhian","",15.97,13.82,64049,"gp_mid",138.15,38.14,"610",1,14.895,"langhian",1
"97360",190767,"col","Moniwa",140.850006,38.195,"Kumanodo, Natori-gun",NA,"",3,"Langhian","",15.97,13.82,64049,"gp_mid",138.22,38.11,"610",1,14.895,"langhian",1
"97361",190768,"col","Yanagawa",140.619995,37.849998,"Yanagawa-mati, Date-gun",NA,"",1,"Langhian","",15.97,13.82,64049,"gp_mid",138.02,37.76,"610",1,14.895,"langhian",1
"98344",194975,"col","",36.283333,45.466667,"Skelya, Kerch Peninsula",NA,"Reef 4202",7,"Langhian","",15.97,13.82,66282,"gp_mid",36.82,42.32,"302",1,14.895,"langhian",1
"101135",202448,"col","",133.436111,34.991669,"Nishikata",NA,"BIH-3",1,"Langhian","",15.97,13.82,41705,"gp_mid",131.05,34.6,"610",1,14.895,"langhian",1
"101145",202462,"col","Toyoda",131.829163,34.716667,"Okuda",NA,"MSD-1",3,"Langhian","",15.97,13.82,41705,"gp_mid",129.47,34.25,"610",1,14.895,"langhian",1
"101821",203317,"col","Moniwa",140.815002,38.220001,"West of Hagurodai Residences",NA,"",1,"Langhian","",15.97,13.82,69723,"gp_mid",138.19,38.13,"610",1,14.895,"langhian",1
"101822",203318,"col","Moniwa",140.807999,38.223,"Northwest of Nihon-Daira, Sendai City",NA,"",1,"Langhian","",15.97,13.82,69723,"gp_mid",138.18,38.14,"610",1,14.895,"langhian",1
"101823",203319,"col","Moniwa",140.798004,38.217999,"Hitokita, along the Natori River",NA,"",1,"Langhian","",15.97,13.82,69723,"gp_mid",138.17,38.13,"610",1,14.895,"langhian",1
"101824",203320,"col","Moniwa",140.802994,38.224998,"Northwest of Hitokita",NA,"",1,"Langhian","",15.97,13.82,69723,"gp_mid",138.17,38.14,"610",1,14.895,"langhian",1
"101825",203321,"col","Moniwa",140.770004,38.23,"Middle course of the Kumanosawa, west of Hongo",NA,"",1,"Langhian","",15.97,13.82,69723,"gp_mid",138.14,38.14,"610",1,14.895,"langhian",1
"101826",203322,"col","Moniwa",140.757996,38.214001,"Bed of Natori River at Kita-Akaishi",NA,"",1,"Langhian","",15.97,13.82,69723,"gp_mid",138.13,38.13,"610",1,14.895,"langhian",1
"101827",203323,"col","Moniwa",140.787003,38.216999,"South of Oide Bridge crossing, Natori River",NA,"",1,"Langhian","",15.97,13.82,69723,"gp_mid",138.16,38.13,"610",1,14.895,"langhian",1
"101828",203324,"col","Moniwa",140.813995,38.219002,"Souitheast of Nihon-Daira, Sendai City",NA,"",1,"Langhian","",15.97,13.82,69723,"gp_mid",138.19,38.13,"610",1,14.895,"langhian",1
