"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"116408",165957,"col","",51.799999,44.25,"Turbas, Mangyshlak",NA,"",1,"Aptian","",125,113,54147,"gp_mid",69.56,34.08,"402",119,1
"116409",165958,"col","",51.799999,44.25,"Kugusem, Mangyshlak",NA,"",1,"Aptian","",125,113,54147,"gp_mid",69.56,34.08,"402",119,1
"116410",165959,"col","",52.16,44.16,"Shetpe region, Mangyshlak",NA,"",1,"Aptian","",125,113,54147,"gp_mid",69.88,34.01,"402",119,1
"116411",165960,"col","",53.6315,40.02,"Yangadzha, Turkmeniya (Aptian)",NA,"",1,"Aptian","",125,113,54147,"gp_mid",71.63,29.99,"402",119,1
"116416",165965,"col","",42.834999,42.564999,"Alpana, Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",61.98,31.9,"511",119,1
"116417",165966,"col","",43.264999,42.07,"Goresha, Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",62.39,31.42,"511",119,1
"117352",167550,"col","Aerado",-46.029999,-18.375,"São José Farm, Varjão, Presidente Olegário (RGMN collection)",NA,"",1,"Aptian","",125,113,54711,"gp_mid",-3.96,-16.38,"201",119,1
"117611",167944,"col","Anfiteatro de Ticó",-69.236389,-48.509167,"Estancia Bajo del Tigre",NA,"",1,"Aptian","",125,113,54953,"gp_mid",-27.96,-44.93,"291",119,1
"118034",169125,"col","",6.683333,46.933334,"La Presta",NA,"",1,"Aptian","",125,113,55249,"gp_mid",31.14,36.55,"305",119,1
"118129",169252,"col","Marnes bleues",5.485556,44.510277,"Saint-Dizier-en-Diois",NA,"",1,"Aptian","",125,113,55270,"gp_mid",29.86,34.21,"305",119,1
"118259",169471,"col","",-2.054444,42.206112,"Era del Peladillo 4 tracksite",NA,"",3,"Aptian","",125,113,55588,"gp_mid",23.4,32.22,"304",119,1
"118260",169472,"col","",-2.054444,42.206112,"Era del Peladillo 5 tracksite",NA,"",3,"Aptian","",125,113,55588,"gp_mid",23.4,32.22,"304",119,1
"118261",169473,"col","",-2.054444,42.206112,"Era del Peladillo 6 tracksite",NA,"",3,"Aptian","",125,113,55588,"gp_mid",23.4,32.22,"304",119,1
"118262",169474,"col","",-2.054444,42.206112,"Era del Peladillo 7 tracksite",NA,"",2,"Aptian","",125,113,55588,"gp_mid",23.4,32.22,"304",119,1
"118263",169475,"col","",-2.224861,42.124695,"El Villar tracksite, Navalsaz",NA,"Arnedo, Logroño",1,"Aptian","",125,113,56560,"gp_mid",23.22,32.22,"304",119,1
"118404",169622,"col","",-0.46,52.157001,"Brickhill (USNM collection)",NA,"",1,"Aptian","",125,113,43337,"gp_mid",25.87,42.22,"315",119,1
"119334",170638,"col","",-2.269444,42.148888,"Valdecevillo E tracksite",NA,"",2,"Aptian","",125,113,55588,"gp_mid",23.2,32.26,"304",119,1
"119409",170925,"col","Lower Greensand",0.12,52.200001,"Cambridge (Tucher Coll.)",NA,"",1,"Aptian","",125,113,52872,"gp_mid",26.35,42.22,"315",119,1
"119703",171268,"col","",33.48,30.690001,"Gebel Manzour (Aptian)",NA,"",3,"Aptian","",125,113,36012,"gp_mid",40.1,5.69,"508",119,1
"119705",171270,"col","",33.529999,30.799999,"Bir Lagama (Aptian)",NA,"",13,"Aptian","",125,113,36012,"gp_mid",40.19,5.76,"508",119,1
"119823",171392,"col","",33.32,30.709999,"Oued Moghara (right bank, Aptian)",NA,"",1,"Aptian","",125,113,36012,"gp_mid",39.98,5.77,"508",119,1
"119824",171393,"col","",33.439999,30.84,"Gebel Lagama (Aptian)",NA,"",3,"Aptian","",125,113,36012,"gp_mid",40.14,5.84,"508",119,1
"119836",171405,"col","",33.439999,30.84,"Gebel Lagama (Aptian ferruginous limestone)",NA,"",2,"Aptian","",125,113,36012,"gp_mid",40.14,5.84,"508",119,1
"119838",171407,"col","",33.380001,30.809999,"Gebel oum Raghaoui (Aptian)",NA,"",1,"Aptian","",125,113,36012,"gp_mid",40.08,5.83,"508",119,1
"119937",171506,"col","",1.08,51.07,"Hythe, Sandgate",NA,"",1,"Aptian","",125,113,55772,"gp_mid",26.97,41.03,"315",119,1
"120186",171804,"col","Ferruginous Sands",-1.1725,50.61861,"Horse Ledge Decapods",NA,"",2,"Aptian","",125,113,55837,"gp_mid",25.03,40.75,"315",119,1
"120259",171904,"col","",-0.616944,51.205555,"Binscombe Decapods",NA,"",1,"Aptian","",125,113,55837,"gp_mid",25.59,41.29,"315",119,1
"120763",173545,"col","",-2.193568,42.126328,"Cuesta de Andorra tracksite, Navalsaz",NA,"Arnedo, Logroño",3,"Aptian","",125,113,56560,"gp_mid",23.24,32.21,"304",119,1
"120771",173559,"col","",-2.25706,42.136742,"Valdecevillo tracksite, level 0",NA,"",1,"Aptian","",125,113,56569,"gp_mid",23.2,32.25,"304",119,1
"120772",173560,"col","",-2.25706,42.136742,"Valdecevillo tracksite, level 150",NA,"",3,"Aptian","",125,113,56569,"gp_mid",23.2,32.25,"304",119,1
