"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"68931",135955,"col","Tyaughton",-122.945,51.044998,"Mouth of Spruce Lake creek",NA,"",1,"Rhaetian","",208.5,201.3,43487,"gp_mid",-53.62,21.93,"127",1,204.9,"rhaetian",1
"68932",135956,"col","Tyaughton",-122.949997,51.075001,"Castle Creek, 6300 feet elevation",NA,"",1,"Rhaetian","",208.5,201.3,43487,"gp_mid",-53.63,21.95,"127",1,204.9,"rhaetian",1
"69380",136912,"col","",-1.64,51.810001,"Byrford, Gloucestershire",NA,"Burford",1,"Rhaetian","",208.5,201.3,23773,"gp_mid",9.4,34.76,"315",1,204.9,"rhaetian",1
"69382",136915,"col","",-2.49,51.599998,"Wickwar, South Gloucestershire",NA,"",1,"Rhaetian","",208.5,201.3,23773,"gp_mid",8.94,34.34,"315",1,204.9,"rhaetian",1
"69497",137062,"col","Tyaughton",-122.964996,51.044998,"GSC 10095, Spruce Lake Creek",NA,"",1,"Rhaetian","",208.5,201.3,46258,"gp_mid",-53.63,21.92,"127",1,204.9,"rhaetian",1
"69498",137063,"col","Tyaughton",-122.945,51.044998,"GSC 10141, Tyaughton Creek",NA,"",1,"Rhaetian","",208.5,201.3,11541,"gp_mid",-53.62,21.93,"127",1,204.9,"rhaetian",1
"69526",137091,"col","Tyaughton",-122.964996,51.049999,"GSC 13338, Tyaughton Creek",NA,"",1,"Rhaetian","",208.5,201.3,11541,"gp_mid",-53.63,21.93,"127",1,204.9,"rhaetian",1
"69670",137318,"col","Westbury",-0.776,53.401001,"Gainsborough, Lea Railway Cutting",NA,"",1,"Rhaetian","",208.5,201.3,45976,"gp_mid",9.11,36.42,"315",1,204.9,"rhaetian",1
"69803",137476,"col","",173.144638,-41.38485,"GS 12845, Aniseed Hill, Nelson (N27/f27)",NA,"",1,"Otapirian","",205.6,201.6,43989,"gp_mid",79.51,-65.47,"806",1,203.6,"rhaetian",1
"69804",137477,"col","",173.047836,-41.441662,"GS 12562, Church Valley Road, Nelson (N28/f81)",NA,"",1,"Otapirian","",205.6,201.6,43989,"gp_mid",79.38,-65.4,"806",1,203.6,"rhaetian",1
"69816",137489,"col","",173.125931,-41.40229,"GS 437, Mount Heslington, Nelson (N28/f7471)",NA,"",2,"Otapirian","",205.6,201.6,44089,"gp_mid",79.47,-65.46,"806",1,203.6,"rhaetian",1
"69911",137658,"col","",6.78,51.966049,"Winterswijk Quarry subrosion pipe",NA,"",37,"Rhaetian","",208.5,201.3,44024,"gp_mid",15.01,37.31,"315",1,204.9,"rhaetian",1
"69912",137659,"col","",-3.3,57.66,"Linksfield, Elgin (BMNH)",NA,"",2,"Rhaetian","",208.5,201.3,43905,"gp_mid",5.04,39.56,"313",1,204.9,"rhaetian",1
"69913",137660,"col","",6.7825,51.9678,"Winterswijk Quarry IV shales",NA,"",8,"Rhaetian","",208.5,201.3,44024,"gp_mid",15.01,37.31,"315",1,204.9,"rhaetian",1
"69914",137661,"col","",-2.24,51.490002,"Garden Cliff, Westbury-on-Severn (BMNH)",NA,"",1,"Rhaetian","",208.5,201.3,43905,"gp_mid",9.17,34.31,"315",1,204.9,"rhaetian",1
"69946",137693,"col","",-2.32,51.23,"Holwell, near Frome, Somerset (BMNH)",NA,"",3,"Rhaetian","",208.5,201.3,43905,"gp_mid",9.25,34.05,"315",1,204.9,"rhaetian",1
"70064",137867,"col","",173.391434,-41.268131,"GS 11829, Packers Creek (O27/f4)",NA,"",3,"Otapirian","",205.6,201.6,44100,"gp_mid",79.77,-65.66,"806",1,203.6,"rhaetian",1
"70144",137962,"col","",-122.964996,51.046001,"GSC 56395, Tyaughton Creek",NA,"",1,"Rhaetian","",208.5,201.3,46258,"gp_mid",-53.63,21.92,"127",1,204.9,"rhaetian",1
"70145",137963,"col","",-122.984001,51.09,"GSC 56405, Castle Peak",NA,"",1,"Rhaetian","",208.5,201.3,11541,"gp_mid",-53.66,21.96,"127",1,204.9,"rhaetian",1
"70147",137965,"col","",-123.008331,51.08889,"GSC 56414, Last Creek",NA,"",1,"Rhaetian","",208.5,201.3,11541,"gp_mid",-53.68,21.95,"127",1,204.9,"rhaetian",1
"70148",137966,"col","",-123.008331,51.08889,"GSC 56415, Last Creek",NA,"",1,"Rhaetian","",208.5,201.3,11541,"gp_mid",-53.68,21.95,"127",1,204.9,"rhaetian",1
"70149",137967,"col","",-122.966667,51.033333,"GSC 62392, Spruce Lake",NA,"",1,"Rhaetian","",208.5,201.3,11541,"gp_mid",-53.62,21.91,"127",1,204.9,"rhaetian",1
"71053",139198,"col","Sables de Mortinsart",5.616667,49.708332,"HLV-5, Habay-la-Vieille V",NA,"",16,"Rhaetian","",208.5,201.3,44712,"gp_mid",15.55,34.98,"315",1,204.9,"rhaetian",1
"71054",139199,"col","Gres de Mortinsart",5.662348,49.697243,"S-1, La Sagnette",NA,"",18,"Rhaetian","",208.5,201.3,44712,"gp_mid",15.59,34.98,"315",1,204.9,"rhaetian",1
"71057",139202,"col","Gres de Mortinsart",5.662348,49.697243,"S-3, La Sagnette",NA,"",20,"Rhaetian","",208.5,201.3,44712,"gp_mid",15.59,34.98,"315",1,204.9,"rhaetian",1
"71059",139204,"col","Gres de Mortinsart",5.686589,49.696095,"UDK, Unter der Kirchen",NA,"Hachy",15,"Rhaetian","",208.5,201.3,44712,"gp_mid",15.61,34.99,"315",1,204.9,"rhaetian",1
"71260",139489,"col","Trossingen",11.073611,51.897499,"Baerecke-Limpricht clay pit, Halberstadt (bed 27)",NA,"",3,"Rhaetian","",208.5,201.3,44850,"gp_mid",17.95,38.58,"315",1,204.9,"rhaetian",1
"71340",139595,"col","Lilstock",-2.145,52.055,"Strensham, Worcestershire (Museum of Practical Geology coll)",NA,"",1,"Rhaetian","",208.5,201.3,37201,"gp_mid",8.93,34.84,"315",1,204.9,"rhaetian",1
"72469",141370,"col","Westbury",-2.63,51.599998,"Aust Cliff bone bed",NA,"",1,"Rhaetian","",208.5,201.3,45976,"gp_mid",8.84,34.3,"315",1,204.9,"rhaetian",1
"72470",141371,"col","Westbury",-2.99,50.779999,"Axminster bone bed (IGS fish coll.)",NA,"",1,"Rhaetian","",208.5,201.3,45976,"gp_mid",9.02,33.47,"315",1,204.9,"rhaetian",1
"72471",141372,"col","Westbury",-1.1496,52.751202,"Barrow-Upon-Soar, Rhaetian bone bed",NA,"Barrow Upon Soar",1,"Rhaetian","",208.5,201.3,45976,"gp_mid",9.23,35.74,"315",1,204.9,"rhaetian",1
"72472",141373,"col","Westbury",-3.444,51.207001,"Blue Anchor Bay, Rhaetian bone bed",NA,"",1,"Rhaetian","",208.5,201.3,45976,"gp_mid",8.49,33.73,"315",1,204.9,"rhaetian",1
