"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"36822",56682,"col","",12.18,-5.33,"Malembe",NA,"Malemba, Malembo",12,"Rupelian","",33.9,28.1,15253,"gp_mid",11.28,-12.77,"701",31,"rupelian",8904,6.7472,-9.4426,12,1
"37916",57924,"col","Marianna",-85.22,30.77,"Chipola River, Marianna Fm.",NA,"Marianna",3,"Rupelian","",33.9,28.1,15585,"gp_mid",-72.23,33.96,"109",31,"rupelian",9139,-79.3741,28.7841,12,1
"38881",58961,"col","Lincoln Creek",-123.51,46.34,"KM Mountain",NA,"LACM 4334",2,"Rupelian","",33.9,28.1,16716,"gp_mid",-106.52,51.37,"129",31,"rupelian",9389,-114.3346,48.667,12,1
"38884",58964,"col","Pysht",-123.86,48.15,"Murdock Creek",NA,"USGS 26898, LACMIP 6295, LACMVP 5123, 5412, CSUN 1578",30,"Rupelian","",33.9,28.1,16716,"gp_mid",-106.72,53.19,"129",31,"rupelian",9391,-114.3346,48.667,12,1
"38901",58985,"col","Ashley",-80.17,32.97,"Trolley Road",NA,"",1,"Rupelian","",33.9,28.1,16733,"gp_mid",-66.66,35.44,"109",31,"rupelian",9397,-71.7627,30.7029,12,1
"39885",60127,"col","Jebel Qatrani",30.5,29.5,"Quarry L-41 (Jebel Qatrani Formation)",NA,"lower sequence; Fayum Faunal Zone 1",48,"Rupelian","",33.9,28.1,17279,"gp_mid",31.83,20.62,"715",31,"rupelian",9618,25.3985,25.4583,12,1
"40130",60444,"col","Ashley",-80.2,32.97,"Dorchester Creek (Ashley Formation)",NA,"",1,"Rupelian","",33.9,28.1,17344,"gp_mid",-66.69,35.45,"109",31,"rupelian",9691,-71.7627,30.7029,12,1
"40131",60445,"col","Ashley",-80.39,32.84,"Martins Landing",NA,"",1,"Rupelian","",33.9,28.1,17344,"gp_mid",-66.91,35.35,"109",31,"rupelian",9692,-71.7627,30.7029,12,1
"40132",60447,"col","Ashley",-80.17,32.99,"Greenhurst Subdivision",NA,"",1,"Rupelian","",33.9,28.1,17344,"gp_mid",-66.66,35.46,"109",31,"rupelian",9693,-71.7627,30.7029,12,1
"40332",60656,"col","Suwannee Limestone",-82.69,28.4,"USGS Loc. 7356 - N of Hudson [Suwannee Lmst]",NA,"Mansfield Loc. 30",5,"Rupelian","",33.9,28.1,17425,"gp_mid",-70.1,31.27,"109",31,"rupelian",9743,-75.9334,26.0044,12,1
"40337",60661,"col","Suwannee Limestone",-82.69,28.5,"USGS Loc. 12761 - N of Hudson [Suwannee Lmst]",NA,"Mansfield Loc. 31",7,"Rupelian","",33.9,28.1,17425,"gp_mid",-70.08,31.37,"109",31,"rupelian",9745,-75.9334,26.0044,12,1
"40339",60663,"col","Suwannee Limestone",-82.18,28.2,"USGS Loc. 12762 - N of Hudson [Suwannee Lmst]",NA,"Mansfield Loc. 29",11,"Rupelian","",33.9,28.1,17425,"gp_mid",-69.61,31.01,"109",31,"rupelian",9746,-75.9334,26.0044,12,1
"40341",60665,"col","Suwannee Limestone",-82.39,28.56,"USGS Loc. 7361, 7362, 7363 - Brooksville [Suwannee Lmst]",NA,"USGS Loc. 11113, 12317, 12318, 12319, 12320, 12322, 12755, 12756, 12757, 12758, 13853",46,"Rupelian","",33.9,28.1,17425,"gp_mid",-69.76,31.39,"109",31,"rupelian",9747,-75.9334,26.0044,12,1
"40348",60672,"col","Suwannee Limestone",-82.7,30.11,"USGS Loc. 4960, 6827, 12307 - Bass [Suwannee Lmst]",NA,"Mansfield Loc. 48",5,"Rupelian","",33.9,28.1,17425,"gp_mid",-69.79,32.96,"109",31,"rupelian",9750,-75.6885,28.4949,12,1
"40354",60677,"col","Suwannee Limestone",-82.76,30.33,"USGS Loc. 6178, 6774, 12745 - Island near White Springs [Suwanee Lmst]",NA,"Mansfield Loc. 46",12,"Rupelian","",33.9,28.1,17425,"gp_mid",-69.81,33.19,"109",31,"rupelian",9752,-75.6885,28.4949,12,1
"40496",60822,"col","Flint River",-84.58,30.91,"USGS 2236 - Blue Spring (Flint River Fm)",NA,"Station 2236",1,"Early Oligocene","",33.9,28.4,17529,"gp_mid",-71.55,34.01,"109",31.15,"rupelian",9781,-79.3741,28.7841,12,1
"40497",60823,"col","Flint River",-84.58,30.91,"USGS 3235 - Blue Spring (Flint River Fm)",NA,"Station 3235",1,"Early Oligocene","",33.9,28.4,17529,"gp_mid",-71.55,34.01,"109",31.15,"rupelian",9781,-79.3741,28.7841,12,1
"40498",60824,"col","Flint River",-84.58,30.91,"USGS 3381 - Blue Spring (Flint River Fm)",NA,"Station 3381",12,"Early Oligocene","",33.9,28.4,17529,"gp_mid",-71.55,34.01,"109",31.15,"rupelian",9781,-79.3741,28.7841,12,1
