"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"29013",46488,"col","Sasnava",21.833332,55.783333,"Borehole Luknénai 29, Sasnava (Bituminous) Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.66,30.78,"302",257.035,1
"29014",46489,"col","Naujoji Akmené",24.433332,54.216667,"Borehole Perloja 60, Naujoji Akmené Suite",NA,"",2,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.86,29.75,"302",257.035,1
"29023",46504,"col","Naujoji Akmené",24.133333,54.516666,"Borehole Punia 4, Naujoji Akmené Suite",NA,"",3,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.56,29.98,"302",257.035,1
"29028",46510,"col","Zalgiris",22.166668,54.416668,"Borehole Kutuzovo 1, Zalgiris Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.34,29.53,"302",257.035,1
"29029",46511,"col","Zalgiris",22,54.666668,"Borehole Lermontovo, Zalgiris Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.15,29.74,"302",257.035,1
"29032",46515,"col","Zalgiris",21.933332,54.916668,"Borehole Zhilino, Zalgiris Suite",NA,"",3,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.02,29.97,"302",257.035,1
"29033",46516,"col","Zalgiris",21.366667,55.533333,"Borehole Vilkichey 18, Zalgiris Suite",NA,"",2,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.45,30.46,"302",257.035,1
"29037",46520,"col","Naujoji Akmené",24.25,54.666668,"Borehole Kernavé 200, Naujoji Akmené Suite",NA,"",4,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.58,30.14,"302",257.035,1
"31952",50022,"col","Heshan",108.867775,23.819721,"Etan 1-B, Heshan Formation, Etan Section, Heshan City",NA,"",29,"Wuchiapingian","",259.9,254.17,13431,"gp_mid",108.33,-18.87,"611",257.035,1
"31953",50023,"col","Heshan",108.856392,23.775,"Matan 1, Heshan Formation, Matan Section, Heshan City",NA,"",28,"Wuchiapingian","",259.9,254.17,13431,"gp_mid",108.33,-18.92,"611",257.035,1
"31955",50025,"col","Heshan",108.856392,23.772499,"Matan 3, Heshan Formation, Matan Section, Heshan City",NA,"",40,"Wuchiapingian","",259.9,254.17,13431,"gp_mid",108.33,-18.92,"611",257.035,1
"31956",50026,"col","Heshan",108.856392,23.772499,"Matan 3A, Heshan Formation, Matan Section, Heshan City",NA,"",35,"Wuchiapingian","",259.9,254.17,13431,"gp_mid",108.33,-18.92,"611",257.035,1
"31957",50027,"col","Heshan",108.867775,23.819721,"Etan 1-C, Heshan Formation, Etan Section, Heshan City",NA,"",28,"Wuchiapingian","",259.9,254.17,13431,"gp_mid",108.33,-18.87,"611",257.035,1
"33149",121004,"col","Shaiwa",106.150002,25.1,"Lekang Section (Lower), Wangmo City",NA,"",5,"Wuchiapingian","",259.9,254.17,27812,"gp_mid",105.47,-18.23,"611",257.035,1
"33238",51650,"col","Kapp Starostin",13.085,78.084999,"Festningen, Unit 7p, Svalbard",NA,"",2,"Wuchiapingian","",259.9,254.17,13718,"gp_mid",22.36,51,"309",257.035,1
"33241",51652,"col","Kapp Starostin",13.085,78.084999,"Festningen, Unit 7-1, Svalbard (1989-91 coll)",NA,"",2,"Wuchiapingian","",259.9,254.17,13718,"gp_mid",22.36,51,"309",257.035,1
"33257",51668,"col","Kapp Starostin",14.775,77.525002,"Reinodden, Unit 10 (RP7), Svalbard",NA,"",3,"Wuchiapingian","",259.9,254.17,13718,"gp_mid",23.18,50.58,"309",257.035,1
"33259",51670,"col","Kapp Starostin",14.775,77.525002,"Reinodden, Unit 16 (RP9), Svalbard",NA,"",3,"Wuchiapingian","",259.9,254.17,13718,"gp_mid",23.18,50.58,"309",257.035,1
"33267",51677,"col","Kapp Starostin",15.03,77.555,"Ahlstrandodden, Unit 5 (AP6), Svalbard",NA,"",8,"Wuchiapingian","",259.9,254.17,13718,"gp_mid",23.24,50.63,"309",257.035,1
"33269",51678,"col","Kapp Starostin",15.03,77.555,"Ahlstrandodden, Unit 6 (AP7), Svalbard",NA,"",2,"Wuchiapingian","",259.9,254.17,13718,"gp_mid",23.24,50.63,"309",257.035,1
