"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"29358",46900,"col","",132,43,"Southern Primorye, Acrochordiceras kiparisovae zone",NA,"",15,"Anisian","",247.2,242,12432,"gp_mid",140.71,21.59,"628",244.6,1
"29359",46901,"col","",132,43,"Southern Primorye, Leiophyllites pradyumna zone",NA,"",9,"Anisian","",247.2,242,12432,"gp_mid",140.71,21.59,"628",244.6,1
"29654",47244,"col","Karazin",132.449997,43.299999,"Artyom Town, ""SMID"" quarry, Bed 12",46901,"",2,"Anisian","",247.2,242,12632,"gp_mid",141.18,21.68,"628",244.6,1
"29665",47255,"col","Karazin",132.300003,42.916668,"Golyj (Kom-Pikho-Sakho) Cape on the eastern coast of Ussuri Gulf, Bed 18",46901,"",1,"Anisian","",247.2,242,12632,"gp_mid",140.87,21.4,"628",244.6,1
"29666",47256,"col","Karazin",132.300003,42.916668,"Golyj (Kom-Pikho-Sakho) Cape on the eastern coast of Ussuri Gulf, Bed 29",46901,"",4,"Anisian","",247.2,242,12632,"gp_mid",140.87,21.4,"628",244.6,1
"29683",47273,"col","Karazin",132.416672,42.933334,"Abrek Bay section at the Strait of Strelok, Bed 18",NA,"",2,"Anisian","",247.2,242,12632,"gp_mid",140.95,21.37,"628",244.6,1
"29684",47274,"col","Karazin",132.416672,42.933334,"Abrek Bay section at the Strait of Strelok, Bed 19",NA,"",2,"Anisian","",247.2,242,12632,"gp_mid",140.95,21.37,"628",244.6,1
"29693",47283,"col","Karazin",131.933334,43.033333,"Zhitkov Cape in Russian Island, Bed 69",46901,"",1,"Anisian","",247.2,242,12647,"gp_mid",140.68,21.64,"628",244.6,1
"29694",47284,"col","Karazin",131.933334,43.033333,"Zhitkov Cape in Russian Island, Bed 70",46901,"",4,"Anisian","",247.2,242,12647,"gp_mid",140.68,21.64,"628",244.6,1
"29695",47285,"col","Karazin",131.933334,43.033333,"Zhitkov Cape in Russian Island, Bed 72",46901,"",5,"Anisian","",247.2,242,12647,"gp_mid",140.68,21.64,"628",244.6,1
"29709",47299,"col","Karazin",131.916672,42.933334,"Schmidt Cape and Tchernyschev Bay in Russian Island, Beds 35-37",NA,"",9,"Anisian","",247.2,242,12647,"gp_mid",140.62,21.56,"628",244.6,1
"29710",47300,"col","Karazin",131.916672,42.933334,"Schmidt Cape and Tchernyschev Bay in Russian Island, Bed 41",46901,"",1,"Anisian","",247.2,242,12647,"gp_mid",140.62,21.56,"628",244.6,1
"29711",47301,"col","Karazin",131.916672,42.933334,"Schmidt Cape and Tchernyschev Bay in Russian Island, Bed 42",46901,"",1,"Anisian","",247.2,242,12647,"gp_mid",140.62,21.56,"628",244.6,1
"29713",47302,"col","Karazin",131.933334,43.033333,"Zhitkov Cape in Russian Island, Bed 68",NA,"",4,"Anisian","",247.2,242,12648,"gp_mid",140.68,21.64,"628",244.6,1
"29721",47311,"col","Karazin",131.916672,42.933334,"Tchernyschev Bay in Russian Island, Bed 38",46901,"",4,"Anisian","",247.2,242,12648,"gp_mid",140.62,21.56,"628",244.6,1
