"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"21895",37393,"col","Tachilni",-162.849167,54.978058,"False Pass (M5166)",NA,"USGS M5166",5,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
"21896",37394,"col","Tachilni",-162.849167,54.978058,"False Pass (M5167)",NA,"USGS M5167",2,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
"21897",37395,"col","Tachilni",-162.849167,54.978058,"False Pass (M5169)",NA,"USGS M5169",5,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
"21901",37398,"col","Tachilni",-162.849167,54.978058,"False Pass (M7139)",NA,"USGS M7139",22,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
"21902",37399,"col","Tachilni",-162.849167,54.978058,"False Pass (M7140)",NA,"USGS M7140",11,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
"21903",37400,"col","Tachilni",-162.849167,54.978058,"False Pass (M7141)",NA,"USGS M7141",2,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
"21904",37401,"col","Tachilni",-162.849167,54.978058,"False Pass (M7146)",NA,"USGS M7146",31,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
"21905",37402,"col","Tachilni",-162.849167,54.978058,"False Pass (M7142)",NA,"USGS M7142",12,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
"21906",37403,"col","Tachilni",-162.849167,54.978058,"False Pass (M7145)",NA,"USGS M7145",1,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
"21907",37404,"col","Tachilni",-162.849167,54.978058,"False Pass (M7144)",NA,"USGS M7144",3,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
"21908",37405,"col","Tachilni",-162.849167,54.978058,"False Pass (M7143)",NA,"USGS M7143",8,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
"21909",37406,"col","Tachilni",-164.645004,54.978058,"False Pass (M7149)",NA,"USGS M7149",9,"Tortonian","",11.62,7.246,10027,"gp_mid",-164.26,57.48,"125",9.433,1
"21910",37407,"col","Tachilni",-163.362228,54.790279,"False Pass (M7150)",NA,"USGS M7150",25,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.88,57.32,"125",9.433,1
"21911",37408,"col","Tachilni",-162.866669,54.916668,"False Pass (M7204)",NA,"USGS M7204",2,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.36,57.45,"125",9.433,1
"21912",37409,"col","Tachilni",-163.046387,54.946945,"False Pass (M7256)",NA,"USGS M7256",16,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.56,57.48,"125",9.433,1
"21913",37410,"col","Tachilni",-163.166672,54.971111,"False Pass (M7258)",NA,"USGS M7258",6,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.69,57.5,"125",9.433,1
"21914",37411,"col","Tachilni",-163.414993,54.850834,"False Pass (CAS 60278)",NA,"CAS 60278",7,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.94,57.38,"125",9.433,1
"21915",37412,"col","Tachilni",-163.414993,54.850834,"False Pass (CAS 60280)",NA,"CAS 60280",4,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.94,57.38,"125",9.433,1
"21916",37413,"col","Tachilni",-163.414993,54.850834,"False Pass (CAS 60279)",NA,"CAS 60279",8,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.94,57.38,"125",9.433,1
"21917",37414,"col","Tachilni",-163.414993,54.850834,"False Pass (A-169)",NA,"University of Alaska A-169; USGS M5044",18,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.94,57.38,"125",9.433,1
"21918",37415,"col","Tachilni",-163.414993,54.850834,"False Pass (A-170)",NA,"University of Alaska A-170",22,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.94,57.38,"125",9.433,1
"21919",37416,"col","Tachilni",-163.414993,54.850834,"False Pass (A-301)",NA,"University of Alaska A-301",14,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.94,57.38,"125",9.433,1
"21920",37417,"col","Tachilni",-163.414993,54.850834,"False Pass (A-302)",NA,"University of Alaska A-302",3,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.94,57.38,"125",9.433,1
"21958",37498,"col","Tachilni",-163.849167,54.978058,"False Pass (M7203)",NA,"USGS M7203",5,"Tortonian","",11.62,7.246,10027,"gp_mid",-163.41,57.49,"125",9.433,1
"21960",37500,"col","Tachilni",-163.866669,54.916668,"False Pass (M7201)",NA,"USGS M7201",5,"Tortonian","",11.62,7.246,10027,"gp_mid",-163.43,57.43,"125",9.433,1
"21961",37502,"col","Tachilni",-163.866669,54.916668,"False Pass (M7200)",NA,"USGS M7200",3,"Tortonian","",11.62,7.246,10027,"gp_mid",-163.43,57.43,"125",9.433,1
"22654",38345,"col","Alfambra",-1.021944,40.5,"La Roma 2",NA,"Teruel",22,"MN 10","",9.7,8.7,10426,"gp_mid",0.2,39.05,"304",9.2,1
"23063",38972,"col","",2.2,42.200001,"Fabrica Grau",NA,"",1,"Vallesian","",11.608,8.7,10430,"gp_mid",3.54,40.51,"304",10.154,1
"23100",39020,"col","",-1.033333,40.549999,"Masia de La Roma",NA,"",3,"Vallesian","",11.608,8.7,10430,"gp_mid",0.32,38.94,"304",10.154,1
"24296",40765,"col","",-0.295,41.423332,"Nivel X-Fisura, Los Valles de Fuentiduenya (Segovia)",NA,"Nivel X-Fisura, Los Valles de Fuentidueña",13,"Vallesian","",11.608,8.7,11005,"gp_mid",1.08,39.79,"304",10.154,1
