"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"119211",170511,"col","Oust",10.06,36.52,"Jebel Oust North, bed 2",NA,"",11,"Jamesoni","Ibex",189.6,183,55572,"gp_mid",21.49,26.39,"714",186.3,"pliensbachian",31760,18.1227,26.6986,40,1
"119214",170514,"col","Oust",10.09,36.37,"Djebel Zaghouan, Attaque Angéline, bed 7",NA,"",6,"Jamesoni","Ibex",189.6,183,55572,"gp_mid",21.46,26.23,"714",186.3,"pliensbachian",31761,18.1227,26.6986,40,1
"119215",170515,"col","Oust",10.09,36.37,"Djebel Zaghouan, Attaque Angéline, bed 8",NA,"",1,"Jamesoni","Ibex",189.6,183,55572,"gp_mid",21.46,26.23,"714",186.3,"pliensbachian",31761,18.1227,26.6986,40,1
"119216",170516,"col","Staa",10.09,36.37,"Djebel Zaghouan, Attaque Angéline, bed 9",NA,"",2,"Margaritatus","",189.6,183,55572,"gp_mid",21.46,26.23,"714",186.3,"pliensbachian",31761,18.1227,26.6986,40,1
"119217",170517,"col","Oust",10.09,36.37,"Djebel Zaghouan, Col du Vent, bed 6",NA,"",4,"Jamesoni","Ibex",189.6,183,55572,"gp_mid",21.46,26.23,"714",186.3,"pliensbachian",31761,18.1227,26.6986,40,1
"119218",170518,"col","Oust",10.09,36.37,"Djebel Zaghouan, Col du Vent, bed 7",NA,"",1,"Jamesoni","Ibex",189.6,183,55572,"gp_mid",21.46,26.23,"714",186.3,"pliensbachian",31761,18.1227,26.6986,40,1
"119219",170519,"col","Oust",10.09,36.37,"Djebel Zaghouan, Col du Vent, bed 8",NA,"",1,"Jamesoni","Ibex",189.6,183,55572,"gp_mid",21.46,26.23,"714",186.3,"pliensbachian",31761,18.1227,26.6986,40,1
"119220",170520,"col","Staa",10.09,36.37,"Djebel Zaghouan, Col du Vent, bed 9",NA,"",1,"Margaritatus","",189.6,183,55572,"gp_mid",21.46,26.23,"714",186.3,"pliensbachian",31761,18.1227,26.6986,40,1
"119221",170521,"col","Oust",10.07,36.35,"Djebel Zaghouan, Mines of Djebel Staa, bed 4 (lower)",NA,"",1,"Jamesoni","",189.6,183,55572,"gp_mid",21.44,26.22,"714",186.3,"pliensbachian",31762,18.1227,26.6986,40,1
"119222",170522,"col","Oust",10.07,36.35,"Djebel Zaghouan, Mines of Djebel Staa, bed 4 (upper)",NA,"",18,"Jamesoni","",189.6,183,55572,"gp_mid",21.44,26.22,"714",186.3,"pliensbachian",31762,18.1227,26.6986,40,1
