"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"32463",50811,"col","Maiolica",12.54,43.59,"876.0 m, Gorgo-A-Cerbara section (Maiolica Fm)",NA,"Bed 43",3,"Barremian","",129.4,125,13572,"gp_mid",36.88,20.98,"307",127.2,"barremian",7753,30.1303,20.6607,28,1
"32464",50812,"col","Maiolica",12.54,43.59,"878.0 m, Gorgo-A-Cerbara section (Maiolica Fm)",NA,"",1,"Barremian","",129.4,125,13572,"gp_mid",36.88,20.98,"307",127.2,"barremian",7753,30.1303,20.6607,28,1
"32465",50813,"col","Maiolica",12.54,43.59,"882.0 m, Gorgo-A-Cerbara section (Maiolica Fm)",NA,"",1,"Barremian","",129.4,125,13572,"gp_mid",36.88,20.98,"307",127.2,"barremian",7753,30.1303,20.6607,28,1
"36295",55937,"col","Dark Grey Siltstone",-137.33,67.92,"Bed 29, Section 5 - Dark Grey Siltstone Division, Richardson Mtns",NA,"Bed 29, Field No. 138",2,"Barremian","",129.4,125,15099,"gp_mid",-41.69,74.6,"101",127.2,"barremian",8830,-48.0244,75.6243,28,1
"36405",56057,"col","",6.59,43.91,"Unit XIV (Barremian) - Coupe de Vergons",NA,"",9,"Barremian","",129.4,125,15116,"gp_mid",29.77,30.29,"305",127.2,"barremian",8858,30.6948,31.7958,28,1
"36406",56058,"col","",6.59,43.91,"Unit XV (Barremian) - Coupe de Vergons",NA,"",10,"Barremian","",129.4,125,15116,"gp_mid",29.77,30.29,"305",127.2,"barremian",8858,30.6948,31.7958,28,1
"36407",56059,"col","",6.59,43.91,"Unit XVI (Barremian) - Coupe de Vergons",NA,"",3,"Barremian","",129.4,125,15116,"gp_mid",29.77,30.29,"305",127.2,"barremian",8858,30.6948,31.7958,28,1
"36413",56065,"col","",6.51,43.87,"Unit XIV (Barremian) - Coupe de la vallée du Cheiron",NA,"",10,"Barremian","",129.4,125,15116,"gp_mid",29.71,30.25,"305",127.2,"barremian",8860,30.6948,31.7958,28,1
"36414",56066,"col","",6.51,43.87,"Unit XV (Barremian) - Coupe de la vallée du Cheiron",NA,"",1,"Barremian","",129.4,125,15116,"gp_mid",29.71,30.25,"305",127.2,"barremian",8860,30.6948,31.7958,28,1
"36415",56067,"col","",6.51,43.87,"Unit XVI (Barremian) - Coupe de la vallée du Cheiron",NA,"",4,"Barremian","",129.4,125,15116,"gp_mid",29.71,30.25,"305",127.2,"barremian",8860,30.6948,31.7958,28,1
"36867",56782,"col","",6.57,43.73,"Unit 19 (Barremian) - Castagne (W of Bargeme)",NA,"",24,"Barremian","",129.4,125,15116,"gp_mid",29.75,30.11,"305",127.2,"barremian",8925,29.9171,30.4861,28,1
"36868",56783,"col","",6.57,43.73,"Unit 20 (Barremian) - Castagne (W of Bargeme)",NA,"",4,"Barremian","",129.4,125,15116,"gp_mid",29.75,30.11,"305",127.2,"barremian",8925,29.9171,30.4861,28,1
"36869",56784,"col","",6.57,43.73,"Unit 21 (Barremian) - Castagne (W of Bargeme)",NA,"",7,"Barremian","",129.4,125,15116,"gp_mid",29.75,30.11,"305",127.2,"barremian",8925,29.9171,30.4861,28,1
"36870",56786,"col","",6.57,43.73,"Unit 22 (Barremian) - Castagne (W of Bargeme)",NA,"",2,"Barremian","",129.4,125,15116,"gp_mid",29.75,30.11,"305",127.2,"barremian",8925,29.9171,30.4861,28,1
"36871",56788,"col","",6.57,43.73,"Unit 23 (Barremian) - Castagne (W of Bargeme)",NA,"",8,"Barremian","",129.4,125,15116,"gp_mid",29.75,30.11,"305",127.2,"barremian",8925,29.9171,30.4861,28,1
"36872",56789,"col","",6.57,43.73,"Unit 24 (Barremian) - Castagne (W of Bargeme)",NA,"",1,"Barremian","",129.4,125,15116,"gp_mid",29.75,30.11,"305",127.2,"barremian",8925,29.9171,30.4861,28,1
"37140",57130,"col","",48.41,54.16,"Unit V - Volga River composite section (Barremian)",NA,"",5,"Barremian","",129.4,125,15436,"gp_mid",62.77,41.51,"302",127.2,"barremian",9022,62.0427,45.6574,28,1
"37141",57132,"col","",48.41,54.16,"Unit VI - Volga River composite section (Barremian)",NA,"",5,"Barremian","",129.4,125,15436,"gp_mid",62.77,41.51,"302",127.2,"barremian",9022,62.0427,45.6574,28,1
"37142",57133,"col","",48.41,54.16,"Unit VII - Volga River composite section (Barremian)",NA,"",4,"Barremian","",129.4,125,15436,"gp_mid",62.77,41.51,"302",127.2,"barremian",9022,62.0427,45.6574,28,1
