"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"102620",146507,"col","",16.456112,47.858055,"Fenk quarry NNW of Grosshöflein, Müllendorf quarry system, Section A, bed 6",NA,"",3,"Langhian","",15.97,13.82,47320,"gp_mid",18.9,43.99,"308",14.895
"102621",146508,"col","",16.456112,47.858055,"Fenk quarry NNW of Grosshöflein, Müllendorf quarry system, Section A, bed 7",NA,"",4,"Langhian","",15.97,13.82,47320,"gp_mid",18.9,43.99,"308",14.895
"102622",146509,"col","",16.456112,47.858055,"Fenk quarry NNW of Grosshöflein, Müllendorf quarry system, Section A, bed 11",NA,"",6,"Langhian","",15.97,13.82,47320,"gp_mid",18.9,43.99,"308",14.895
"102623",146510,"col","",16.456112,47.858055,"Fenk quarry NNW of Grosshöflein, Müllendorf quarry system, Section A, bed 12",NA,"",5,"Langhian","",15.97,13.82,47320,"gp_mid",18.9,43.99,"308",14.895
"102624",146511,"col","",16.456112,47.858055,"Fenk quarry NNW of Grosshöflein, Müllendorf quarry system, Section A, bed 13",NA,"",4,"Langhian","",15.97,13.82,47320,"gp_mid",18.9,43.99,"308",14.895
"102625",146512,"col","",16.456112,47.858055,"Fenk quarry NNW of Grosshöflein, Müllendorf quarry system, Section A, bed 14",NA,"",8,"Langhian","",15.97,13.82,47320,"gp_mid",18.9,43.99,"308",14.895
"102626",146513,"col","",16.456112,47.858055,"Fenk quarry NNW of Grosshöflein, Müllendorf quarry system, Section A, bed 15",NA,"",5,"Langhian","",15.97,13.82,47320,"gp_mid",18.9,43.99,"308",14.895
"102627",146514,"col","",16.456112,47.858055,"Fenk quarry NNW of Grosshöflein, Müllendorf quarry system, Section A, bed 16",NA,"",4,"Langhian","",15.97,13.82,47320,"gp_mid",18.9,43.99,"308",14.895
"102628",146515,"col","",16.451111,47.858055,"Upper Fenk quarry system, Section B, bed 2",NA,"",3,"Langhian","",15.97,13.82,47320,"gp_mid",18.89,43.99,"308",14.895
"102629",146516,"col","",16.451111,47.858055,"Upper Fenk quarry system, Section B, bed 3",NA,"",3,"Langhian","",15.97,13.82,47320,"gp_mid",18.89,43.99,"308",14.895
"102630",146517,"col","",16.451111,47.858055,"Upper Fenk quarry system, Section B, bed 4",NA,"",4,"Langhian","",15.97,13.82,47320,"gp_mid",18.89,43.99,"308",14.895
"102631",146518,"col","",16.451111,47.858055,"Upper Fenk quarry system, Section B, bed 5",NA,"",6,"Langhian","",15.97,13.82,47320,"gp_mid",18.89,43.99,"308",14.895
"102632",146519,"col","",16.451111,47.858055,"Upper Fenk quarry system, Section B, bed 6",NA,"",1,"Langhian","",15.97,13.82,47320,"gp_mid",18.89,43.99,"308",14.895
"102633",146520,"col","",16.450832,47.858612,"Lower Fenk quarry system, Section C, bed 1",NA,"",1,"Langhian","",15.97,13.82,47320,"gp_mid",18.89,43.99,"308",14.895
"102634",146521,"col","",16.450832,47.858612,"Lower Fenk quarry system, Section C, bed 2",NA,"",2,"Langhian","",15.97,13.82,47320,"gp_mid",18.89,43.99,"308",14.895
"102635",146522,"col","",16.450832,47.858612,"Lower Fenk quarry system, Section C, bed 3",NA,"",1,"Langhian","",15.97,13.82,47320,"gp_mid",18.89,43.99,"308",14.895
"102636",146523,"col","",16.450832,47.858612,"Lower Fenk quarry system, Section C, bed 5",NA,"",4,"Langhian","",15.97,13.82,47320,"gp_mid",18.89,43.99,"308",14.895
"102637",146524,"col","",16.450832,47.858612,"Lower Fenk quarry system, Section C, bed 6",NA,"",2,"Langhian","",15.97,13.82,47320,"gp_mid",18.89,43.99,"308",14.895
"102638",146525,"col","",16.450832,47.858612,"Lower Fenk quarry system, Section C, bed 7",NA,"",1,"Langhian","",15.97,13.82,47320,"gp_mid",18.89,43.99,"308",14.895
"102639",146526,"col","",16.451389,47.855556,"Müllendorf quarry system, Section D",NA,"",9,"Langhian","",15.97,13.82,47320,"gp_mid",18.89,43.99,"308",14.895
"103450",147450,"col","",35.650002,33.933334,"Nahr el Kelb, basal 30 metres thickness",NA,"",13,"Langhian","",15.97,13.82,47514,"gp_mid",36.12,29.38,"508",14.895
"103451",147451,"col","",35.650002,33.933334,"Nahr el Kelb, 27 metres thickness",NA,"",9,"Langhian","",15.97,13.82,47514,"gp_mid",36.12,29.38,"508",14.895
"103452",147452,"col","",35.650002,33.933334,"Nahr el Kelb, 45 metres thickness",NA,"",6,"Langhian","",15.97,13.82,47514,"gp_mid",36.12,29.38,"508",14.895
"103455",147455,"col","",35.283333,33.433334,"Saksakiye section",NA,"",4,"Langhian","",15.97,13.82,47514,"gp_mid",35.73,28.9,"508",14.895
"103456",147456,"col","",35.283333,33.433334,"Saksakiye section, 27 meters thickness",NA,"",1,"Langhian","",15.97,13.82,47514,"gp_mid",35.73,28.9,"508",14.895
"103457",147457,"col","",35.283333,33.433334,"Beirut Port section, 27 meters thickness",NA,"",3,"Langhian","",15.97,13.82,47514,"gp_mid",35.73,28.9,"508",14.895
"103458",147458,"col","",35.75,34.483334,"Ramkine Island section, 27 meters thickness",NA,"",1,"Langhian","",15.97,13.82,47514,"gp_mid",36.07,29.14,"503",14.895
"104179",148216,"col","",16.198999,47.999001,"Baden Rauchstallbrunngraben",NA,"",5,"Langhian","",15.97,13.82,47582,"gp_mid",18.67,44.14,"307",14.895
"104181",148218,"col","",16.183332,47.945332,"Gainfarn",NA,"",1,"Langhian","",15.97,13.82,47582,"gp_mid",18.65,44.09,"307",14.895
"104183",148221,"col","Leitha",16.610556,47.968056,"Mannersdorf",NA,"",0,"Langhian","",15.97,13.82,47582,"gp_mid",19.05,44.09,"308",14.895
"104187",148226,"col","Tauchen",16.058332,47.427502,"Friedberg",NA,"",1,"Langhian","",15.97,13.82,47582,"gp_mid",18.49,43.58,"308",14.895
"104188",148227,"col","Weissenegg",15.558889,46.739723,"Retznei",NA,"",12,"Langhian","",15.97,13.82,47582,"gp_mid",17.96,42.92,"308",14.895
"104350",148395,"col","",-0.041111,47.548058,"Pontigne 3",NA,"les Buissonneaux; Maine-et-Loire",8,"Langhian","",15.97,13.82,47649,"gp_mid",2.4,45.02,"305",14.895
"104351",148396,"col","",-0.041111,47.548058,"Pontigne 4 (marine)",NA,"les Buissoneaux",41,"Langhian","",15.97,13.82,47649,"gp_mid",2.4,45.02,"305",14.895
"104355",148401,"col","",-0.025833,47.53389,"Grand-Trouve 4 (marine)",NA,"",25,"Langhian","",15.97,13.82,47649,"gp_mid",2.41,45,"305",14.895
"108373",153681,"col","",16.389999,48.549999,"Niederleis",NA,"",2,"Langhian","",15.97,13.82,49760,"gp_mid",18.05,45.6,"305",14.895
