"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"57180",118129,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 6, Kuh-e Ali Bashi",NA,"",3,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57181",118130,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 7, Kuh-e Ali Bashi",NA,"",14,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57182",118131,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 8, Kuh-e Ali Bashi",NA,"",12,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57183",118132,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 9 lower, Kuh-e Ali Bashi",NA,"",4,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57184",118133,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 9 upper, Kuh-e Ali Bashi",NA,"",4,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57185",118134,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 10, Kuh-e Ali Bashi",NA,"",14,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57186",118135,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 11, Kuh-e Ali Bashi",NA,"",9,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57187",118136,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 12 lower, Kuh-e Ali Bashi",NA,"",6,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57188",118137,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 12 upper, Kuh-e Ali Bashi",NA,"",9,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57189",118138,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 13, Kuh-e Ali Bashi",NA,"",7,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57190",118139,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 14, Kuh-e Ali Bashi",NA,"",17,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57191",118140,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 15, Kuh-e Ali Bashi",NA,"",10,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57192",118141,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 16, Kuh-e Ali Bashi",NA,"",3,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57193",118142,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 17, Kuh-e Ali Bashi",NA,"",12,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57270",118352,"col","Ruteh",52.370998,36.255001,"Amol section, Bed 1, lower Heraz Valley",NA,"",13,"Wordian","",268.8,265.1,33703,"gp_mid",57.11,-9.75,"512",1,266.95,"wordian"
