"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"141490",209338,"col","Falaises de Fresco",-5.62,5.08,"Falaises de Fresco, region JK (Laga-Ghirobo), bed 5",NA,"",5,"Thanetian","",59.2,56,26458,"gp_mid",-5.62,-5.1,"714",57.6,"thanetian",12910,-8.9987,-1.734,17
"141491",209339,"col","Falaises de Fresco",-5.62,5.08,"Falaises de Fresco, region JK (Laga-Ghirobo), bed 2-5",NA,"",4,"Thanetian","",59.2,56,26458,"gp_mid",-5.62,-5.1,"714",57.6,"thanetian",12910,-8.9987,-1.734,17
"141492",209340,"col","Falaises de Fresco",-5.62,5.08,"Falaises de Fresco, region MN (Laga-Ghirobo), bed 5",NA,"",2,"Thanetian","",59.2,56,26458,"gp_mid",-5.62,-5.1,"714",57.6,"thanetian",12910,-8.9987,-1.734,17
"141493",209341,"col","Falaises de Fresco",-5.62,5.08,"Falaises de Fresco, region CD (Kraïébouèn), bed 5",NA,"",2,"Thanetian","",59.2,56,72227,"gp_mid",-5.62,-5.1,"714",57.6,"thanetian",12910,-8.9987,-1.734,17
"141494",209342,"col","Falaises de Fresco",-5.62,5.08,"Falaises de Fresco, region JK (Laga-Ghirobo), top of bed 3",NA,"",3,"Thanetian","",59.2,56,72227,"gp_mid",-5.62,-5.1,"714",57.6,"thanetian",12910,-8.9987,-1.734,17
"141495",209343,"col","Falaises de Fresco",-5.62,5.08,"Falaises de Fresco, point N (Laga-Ghirobo), bed 2",NA,"",1,"Thanetian","",59.2,56,72227,"gp_mid",-5.62,-5.1,"714",57.6,"thanetian",12910,-8.9987,-1.734,17
"141496",209344,"col","Falaises de Fresco",-5.62,5.08,"Falaises de Fresco, bed 2-5 undivided",NA,"",2,"Thanetian","",59.2,56,72227,"gp_mid",-5.62,-5.1,"714",57.6,"thanetian",12910,-8.9987,-1.734,17
"141726",209587,"col","Jbel Ta'Louit",-6.61,31.5,"Jbel Guersif",NA,"",1,"Thanetian","",59.2,56,72297,"gp_mid",0.2,20.72,"714",57.6,"thanetian",37250,-8.2122,26.0193,17
"141886",209812,"col","Beinisvørð",-7.65,62.1,"Fjørudalsnev, Mykines",NA,"",1,"Thanetian","",59.2,56,72385,"gp_mid",NA,NA,"coordinates not computable using this model",57.6,"thanetian",37298,-8.6926,56.8461,17
"145092",214288,"col","Santa Susana",-118.55,34.07,"LACMIP loc. 11984, Palisades Highlands",NA,"",2,"Thanetian","",59.2,56,66332,"gp_mid",-89.56,41.74,"105",57.6,"thanetian",37937,-99.2121,36.6971,17
"145093",214289,"col","Santa Susana",-118.55,34.08,"LACMIP loc. 16869, Palisades Highlands",NA,"CSUN Loc. 1590",11,"Thanetian","",59.2,56,66332,"gp_mid",-89.56,41.75,"105",57.6,"thanetian",37938,-99.2121,36.6971,17
"145094",214290,"col","Santa Susana",-118.55,34.08,"LACMIP loc. 16888, Palisades Highlands",NA,"",2,"Thanetian","",59.2,56,66332,"gp_mid",-89.56,41.75,"105",57.6,"thanetian",37938,-99.2121,36.6971,17
"145095",214291,"col","Santa Susana",-118.55,34.07,"LACMIP loc. 16897, Pulga Canyon",NA,"",2,"Thanetian","",59.2,56,66332,"gp_mid",-89.56,41.74,"105",57.6,"thanetian",37937,-99.2121,36.6971,17
"145096",214292,"col","Santa Susana",-118.56,34.09,"LACMIP loc. 26814, Quarry Canyon",NA,"UCLA loc. 6184",1,"Thanetian","",59.2,56,66332,"gp_mid",-89.57,41.76,"105",57.6,"thanetian",37939,-99.2121,36.6971,17
