"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"53633",82116,"col","Gatun",-79.801109,9.342222,"PRI Pitt Coll. - Sabanita [lower Gatun Fm]",NA,"GA-9",54,"Tortonian","",11.62,7.246,19909,"gp_mid",-77.53,10.28,"230",9.433
"53636",82119,"col","Gatun",-79.801109,9.342222,"PRI Pitt Loc. 96 - Sabanita [lower Gatun Fm]",NA,"GA-11",46,"Tortonian","",11.62,7.246,19909,"gp_mid",-77.53,10.28,"230",9.433
"53638",82121,"col","Gatun",-79.801109,9.342222,"PRI Pitt Loc. 95 [lower Gatun Fm]",NA,"GA-7",56,"Tortonian","",11.62,7.246,19909,"gp_mid",-77.53,10.28,"230",9.433
"53639",82122,"col","Gatun",-79.801109,9.342222,"PRI Pitt Loc. 98 [lower Gatun Fm]",NA,"PRI Acc. 1267; GA-8",37,"Tortonian","",11.62,7.246,19909,"gp_mid",-77.53,10.28,"230",9.433
"53641",82124,"col","Gatun",-79.801109,9.342222,"PRI Pitt Loc. 97 [lower Gatun Fm]",NA,"GA-12",41,"Tortonian","",11.62,7.246,19909,"gp_mid",-77.53,10.28,"230",9.433
"53642",82125,"col","Gatun",-79.801109,9.342222,"PRI Pitt Coll. - Sabanita [lower Gatun Fm]",NA,"GA-10",21,"Tortonian","",11.62,7.246,19909,"gp_mid",-77.53,10.28,"230",9.433
"53643",82126,"col","Gatun",-79.843613,9.360556,"PRI Pitt Coll. - Cativa road cut [Gatun Fm]",NA,"PRI Acc. 1267; GA-4",26,"Tortonian","",11.62,7.246,19909,"gp_mid",-77.58,10.3,"230",9.433
"53644",82127,"col","Gatun",-79.843613,9.360556,"PRI Pitt Coll. - Near Cativa [lower Gatun Fm]",NA,"PRI Acc. 1267; GA-2",21,"Tortonian","",11.62,7.246,19909,"gp_mid",-77.58,10.3,"230",9.433
"53645",82128,"col","Gatun",-79.824448,9.387222,"PRI Pitt Coll. - Isla Payardi [middle Gatun Fm]",NA,"PRI Acc. 1267; GA-1",32,"Tortonian","",11.62,7.246,19909,"gp_mid",-77.56,10.33,"230",9.433
"53646",82129,"col","Gatun",-79.824448,9.387222,"PRI Pitt Coll. - Isla Payardi [middle Gatun Fm]",NA,"PRI Acc. 1267; GA-3",16,"Tortonian","",11.62,7.246,19909,"gp_mid",-77.56,10.33,"230",9.433
"53647",82130,"col","Gatun",-79.801109,9.342222,"PRI Pitt Coll. - Sabanita [lower Gatun Fm]",NA,"PRI Acc. 1267; GA-5",31,"Tortonian","",11.62,7.246,19909,"gp_mid",-77.53,10.28,"230",9.433
"53995",82517,"col","Modelo",-118.469452,34.147369,"Del Gado Drive",149545,"LACM 1267",5,"Tortonian","",11.62,7.246,27788,"gp_mid",-114.62,35.81,"105",9.433
"55686",84871,"col","Navidad",-71.849998,-33.900002,"Punta Perro, late miocene, Navidad Formation",NA,"",1,"Tortonian","",11.62,7.246,28501,"gp_mid",-70.09,-33.37,"291",9.433
"55738",84953,"col","Cercado",-71.183334,19.450001,"NMB Loc. 15901 - Río Gurabo [Cercado Fm]",NA,"Reef 3902",12,"Tortonian","",11.62,7.246,25313,"gp_mid",-68.94,20.31,"252",9.433
"56059",85340,"col","",-0.586389,43.166668,"Salles",NA,"",1,"Tortonian","",11.62,7.246,18819,"gp_mid",0.73,41.71,"304",9.433
"56212",85508,"col","",13.246944,46.757778,"Steinfeld",NA,"",1,"Tortonian","",11.62,7.246,18748,"gp_mid",14.83,44.54,"307",9.433
"56216",85514,"col","",36.474167,45.361942,"Kertsch",NA,"Kerch",9,"Tortonian","",11.62,7.246,28902,"gp_mid",36.76,43.48,"302",9.433
"56218",85513,"col","",16.214167,47.965279,"Voslau",NA,"",1,"Tortonian","",11.62,7.246,18748,"gp_mid",17.74,45.67,"307",9.433
"56789",86500,"col","St Marys",-76.389442,38.381668,"Cove Point",NA,"",1,"Tortonian","",11.62,7.246,12835,"gp_mid",-72.27,39.52,"109",9.433
"57747",87787,"col","",18.252777,-19.516111,"Berk Aukas Site I",NA,"Otavi Mountains",11,"MN 9","",11.1,9.7,29516,"gp_mid",17.66,-22.1,"701",10.4
"58395",88545,"col","Blinovo",36.383331,45.266666,"Kamysh-Burun district mine, quarry E",NA,"Arshintsevo",5,"Tortonian","",11.62,7.246,60839,"gp_mid",36.67,43.39,"302",9.433
"58871",89169,"col","Cercado",-71.333336,19.533333,"Cercado Formation (unspecified localities)",NA,"",5,"Tortonian","",11.62,7.246,31112,"gp_mid",-69.08,20.4,"252",9.433
"59036",89445,"col","Breda",5.729444,51.700279,"Langenboom, Breda Formation, Unit A",NA,"",4,"Tortonian","",11.62,7.246,29366,"gp_mid",7.19,50.13,"315",9.433
"59245",90023,"col","Mauri",-69,-17.200001,"Achiri",NA,"",13,"Tortonian","",11.62,7.246,30156,"gp_mid",-66.84,-16.74,"201",9.433
"59627",90618,"col","Cercado",-71.618057,18.93,"NMB Loc. 16857 - Río Cano [Cercado Fm]",NA,"",37,"Tortonian","",11.62,7.246,25313,"gp_mid",-69.39,19.81,"252",9.433
"60065",91355,"col","",-9.234722,38.645279,"Caparica",NA,"Caparica et Mutela",4,"Tortonian","",11.62,7.246,30731,"gp_mid",-7.92,37.38,"304",9.433
"60123",91413,"col","",-9.119722,38.749722,"Quinta do Alfundao, Tortonian",NA,"",6,"Tortonian","",11.62,7.246,30781,"gp_mid",-7.8,37.49,"304",9.433
"60727",92064,"col","Nagria",72.683334,33.783333,"Locality 182",NA,"Ganda Kas, Gandakas",1,"Tortonian","",11.62,7.246,30980,"gp_mid",74.11,29.01,"501",9.433
"60728",92065,"col","Nagri",72.600281,33.666389,"Kot Maliaran",NA,"",1,"Tortonian","",11.62,7.246,30980,"gp_mid",74.02,28.9,"501",9.433
"60729",92066,"col","Nagri",72.600281,33.666389,"Kaulial",NA,"",1,"Tortonian","",11.62,7.246,30980,"gp_mid",74.02,28.9,"501",9.433
"60754",92094,"col","",-9.2,38.616669,"Costa de Caparica, Foz do Rego",NA,"",1,"Tortonian","",11.62,7.246,31005,"gp_mid",-7.89,37.35,"304",9.433
"60808",92148,"col","Chorora",40.299999,8.866667,"Beticha",NA,"",13,"MN 9","",11.1,9.7,31040,"gp_mid",40.11,5.97,"709",10.4
"61060",92444,"col","Gatun",-79.843613,9.360556,"TU 757 - Cativa [lower Gatun Fm]",NA,"",10,"Tortonian","",11.62,7.246,31182,"gp_mid",-77.58,10.3,"230",9.433
"61061",92445,"col","Gatun",-79.843613,9.360556,"TU 958 - Cativa [lower Gatun Fm]",NA,"",9,"Tortonian","",11.62,7.246,31182,"gp_mid",-77.58,10.3,"230",9.433
"61062",92446,"col","Gatun",-79.843613,9.360556,"TU 959 - Refinería Panamá [middle Gatun Fm]",NA,"",4,"Tortonian","",11.62,7.246,31182,"gp_mid",-77.58,10.3,"230",9.433
"61098",92598,"col","Gatun",-79.843613,9.360556,"TU 962 - Refinería Panamá [middle Gatun Fm]",NA,"",7,"Tortonian","",11.62,7.246,31182,"gp_mid",-77.58,10.3,"230",9.433
"61163",92599,"col","Gatun",-79.800003,9.333333,"TU 1431 - Sabanita [lower Gatun Fm]",NA,"",4,"Tortonian","",11.62,7.246,31182,"gp_mid",-77.53,10.27,"230",9.433
"61164",92600,"col","Gatun",-79.800003,9.333333,"TU 1432 - Residential Martin Luther King [lower Gatun Fm]",NA,"",3,"Tortonian","",11.62,7.246,31182,"gp_mid",-77.53,10.27,"230",9.433
"61165",92601,"col","Gatun",-79.800003,9.333333,"TU 1433 - Urbanization San Martin [lower Gatun Fm]",NA,"",3,"Tortonian","",11.62,7.246,31182,"gp_mid",-77.53,10.27,"230",9.433
"61205",92654,"col","",46.400002,37.733334,"Kopran, Maragheh",NA,"",1,"Vallesian","",11.608,8.7,57615,"gp_mid",45.82,34.57,"512",10.154
"61244",92704,"col","Tuira",-78.066109,8.345,"USGS Loc. 8477 - Rio Tuira [Tuira Fm]",NA,"",23,"Tortonian","",11.62,7.246,31231,"gp_mid",-75.82,9.24,"230",9.433
"61284",92752,"col","Gatun",-79.820831,9.356944,"CASG Loc. 58335 - Isla Payardi [middle Gatun Fm]",NA,"",2,"Tortonian","",11.62,7.246,31282,"gp_mid",-77.55,10.3,"230",9.433
"61363",92904,"col","",8.383333,40.783333,"Fiumi Santo",NA,"",11,"Tortonian","",11.62,7.246,31363,"gp_mid",NA,NA,"coordinates not computable using this model",9.433
"61483",93051,"col","Gatun",-80,9.166667,"Woodring Loc. 185 - western area [upper Gatun Fm]",NA,"",48,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.74,10.11,"230",9.433
"61484",93052,"col","Gatun",-80,9.166667,"Woodring Loc. 183 - western area [upper Gatun Fm]",NA,"USGS Loc. 8487",28,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.74,10.11,"230",9.433
"61485",93053,"col","Gatun",-80,9.166667,"Woodring Loc. 182a - western area [upper Gatun Fm]",NA,"",31,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.74,10.11,"230",9.433
"61486",93054,"col","Gatun",-80,9.166667,"Woodring Loc. 182 - western area [upper Gatun Fm]",NA,"",38,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.74,10.11,"230",9.433
"61487",93055,"col","Gatun",-80,9.166667,"Woodring Loc. 179, western area [upper Gatun Fm]",NA,"",6,"Tortonian","",11.62,7.246,13235,"gp_mid",-77.74,10.11,"230",9.433
"61488",93056,"col","Gatun",-79.966667,9.283333,"Woodring Loc. 163 - eastern area [upper Gatun Fm]",NA,"",16,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.7,10.23,"230",9.433
"61489",93057,"col","Gatun",-79.923615,9.293611,"Woodring Loc. 171 - eastern area [upper Gatun Fm]",NA,"",24,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.66,10.24,"230",9.433
"61490",93058,"col","Gatun",-79.91861,9.298611,"Woodring Loc. 172 - eastern area [upper Gatun Fm]",NA,"",28,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.65,10.24,"230",9.433
"61491",93059,"col","Gatun",-79.915558,9.301389,"Woodring Loc. 173 - eastern area [upper Gatun Fm]",NA,"",40,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.65,10.25,"230",9.433
"61492",93060,"col","Gatun",-79.915833,9.301111,"Woodring Loc. 173a - eastern area [upper Gatun Fm]",NA,"",20,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.65,10.24,"230",9.433
"61493",93061,"col","Gatun",-79.895836,9.328056,"Woodring Loc. 174 - eastern area [middle Gatun Fm]",NA,"",10,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.63,10.27,"230",9.433
"61494",93062,"col","Gatun",-79.893608,9.331667,"Woodring Loc. 175 - eastern area [middle Gatun Fm]",NA,"",55,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.63,10.27,"230",9.433
"61549",93144,"col","Gatun",-79.833336,9.35,"Woodring Loc. 138b - Cativa [lower Gatun Fm]",NA,"USGS 19853",27,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61550",93145,"col","Gatun",-79.833336,9.35,"Woodring Loc. 138c - Cativa [lower Gatun Fm]",NA,"USGS 21956",138,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61551",93146,"col","Gatun",-79.833336,9.35,"Woodring Loc. 138d - Cativa [lower Gatun Fm]",NA,"USGS 22016",87,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61552",93147,"col","Gatun",-79.833336,9.35,"Woodring Loc. 138e - Cativa [lower Gatun Fm]",NA,"USGS 22391",51,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61553",93148,"col","Gatun",-79.833336,9.35,"Woodring Loc. 138f - Cativa [lower Gatun Fm]",NA,"USGS 23663",48,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61554",93149,"col","Gatun",-79.833336,9.35,"Woodring Loc. 138g - Cativa [lower Gatun Fm]",NA,"USGS 23664",20,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61555",93150,"col","Gatun",-79.833336,9.35,"Woodring Loc. 138h - Cativa [lower Gatun Fm]",NA,"USGS 25281",13,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61564",93159,"col","Gatun",-79.833336,9.35,"Woodring Loc. 139b - eastern area [lower Gatun Fm]",NA,"USGS #22017",63,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61565",93160,"col","Gatun",-79.833336,9.35,"Woodring Loc. 139c - eastern area [lower Gatun Fm]",NA,"USGS #22018",92,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61566",93161,"col","Gatun",-79.833336,9.35,"Woodring Loc. 139d - eastern area [lower Gatun Fm]",NA,"USGS #22390",11,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61567",93162,"col","Gatun",-79.833336,9.35,"Woodring Loc. 139e - eastern area [lower Gatun Fm]",NA,"USGS #22019",47,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61568",93163,"col","Gatun",-79.833336,9.35,"Woodring Loc. 139f - eastern area [lower Gatun Fm]",NA,"USGS #22020",31,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61569",93164,"col","Gatun",-79.833336,9.35,"Woodring Loc. 139g - eastern area [lower Gatun Fm]",NA,"USGS #22417",38,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61570",93165,"col","Gatun",-79.833336,9.35,"Woodring Loc. 139h - eastern area [lower Gatun Fm]",NA,"USGS #25278",8,"Tortonian","",11.62,7.246,13359,"gp_mid",-77.57,10.29,"230",9.433
"61571",93166,"col","Gatun",-79.833336,9.35,"Woodring Loc. 140 - eastern area [middle Gatun Fm]",NA,"",23,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.57,10.29,"230",9.433
"61572",93167,"col","Gatun",-79.833336,9.35,"Woodring Loc. 141 - eastern area [middle Gatun Fm]",NA,"USGS 16948",17,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.57,10.29,"230",9.433
"61573",93168,"col","Gatun",-79.884445,9.275556,"Woodring Loc. 144a - eastern area [middle Gatun Fm]",NA,"USGS 6029b",23,"Tortonian","",11.62,7.246,11306,"gp_mid",-77.62,10.22,"230",9.433
