"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"6888",33877,"col","",-70.283333,-28.950001,"Quebrada Pinte, Profil 6, Sample 3-45",NA,"",18,"Late Toarcian","",180.1,175.6,487,"gp_mid",-20.53,-29.56,"291",1,177.85,"toarcian"
"6889",33878,"col","",-70.283333,-28.950001,"Quebrada Pinte, Profil 6, Sample 3-46",NA,"",8,"Late Toarcian","",180.1,175.6,487,"gp_mid",-20.53,-29.56,"291",1,177.85,"toarcian"
"6890",33879,"col","",-70.283333,-28.950001,"Quebrada Pinte, Profil 6, Sample 3-47",NA,"",14,"Late Toarcian","",180.1,175.6,487,"gp_mid",-20.53,-29.56,"291",1,177.85,"toarcian"
"6891",33880,"col","",-70.283333,-28.950001,"Quebrada Pinte, Profil 6, Sample 3-48",NA,"",10,"Late Toarcian","",180.1,175.6,487,"gp_mid",-20.53,-29.56,"291",1,177.85,"toarcian"
"6990",34120,"col","",-70.283333,-28.950001,"Quebrada Pinte, Profil 6, Sample 3-42",NA,"",24,"Middle Toarcian","",182,175.6,487,"gp_mid",-20.13,-29.53,"291",1,178.8,"toarcian"
"6992",34125,"col","",17,47,"Bakony Mts. (3), Northwest Hungary",NA,"",1,"Toarcian","",182.7,174.1,8985,"gp_mid",38.34,25.78,"308",1,178.4,"toarcian"
"7009",34177,"col","",-137.199997,67.833336,"GSC 39342, Bug Creek Grp, Mt. McGuire area, northern Yukon",NA,"",2,"Toarcian","",182.7,174.1,8997,"gp_mid",-45.34,56.31,"101",1,178.4,"toarcian"
"7023",34198,"col","Kingak",-137.79306,68.283333,"GSC 86821, Kingak Fm, Bonnet Lake area, northern Yukon",NA,"",2,"Toarcian","",182.7,174.1,8997,"gp_mid",-45.35,56.81,"101",1,178.4,"toarcian"
"7040",34223,"col","Kingak",-137.78334,68.316666,"GSC 92588, Kingak Fm, north of Bonnet Lake, northern Yukon",NA,"",3,"Toarcian","",182.7,174.1,8997,"gp_mid",-45.32,56.84,"101",1,178.4,"toarcian"
"7442",35445,"col","",-70.283333,-28.950001,"Quebrada Pinte, Profil 5, Sample 4a",NA,"",18,"Middle Toarcian","",182,175.6,487,"gp_mid",-20.13,-29.53,"291",1,178.8,"toarcian"
"7443",35446,"col","",-70.283333,-28.950001,"Quebrada Pinte, Profil 5, Sample 4b",NA,"",15,"Late Toarcian","",180.1,175.6,487,"gp_mid",-20.53,-29.56,"291",1,177.85,"toarcian"
"7444",35447,"col","",-70.216667,-28.733334,"Quebrada La Totora, Profil 4, Sample 5-1",NA,"",18,"Middle Toarcian","",182,175.6,487,"gp_mid",-20.13,-29.31,"291",1,178.8,"toarcian"
"7445",35448,"col","",-70.216667,-28.733334,"Quebrada La Totora, Profil 4, Sample 5-2",NA,"",21,"Middle Toarcian","",182,175.6,487,"gp_mid",-20.13,-29.31,"291",1,178.8,"toarcian"
"7446",35449,"col","",-70.216667,-28.733334,"Quebrada La Totora, Profil 4, Sample 5-3",NA,"",18,"Late Toarcian","",180.1,175.6,487,"gp_mid",-20.53,-29.34,"291",1,177.85,"toarcian"
"7447",35450,"col","",-70.216667,-28.733334,"Quebrada La Totora, Profil 4, Sample 5-4",NA,"",11,"Late Toarcian","",180.1,175.6,487,"gp_mid",-20.53,-29.34,"291",1,177.85,"toarcian"
"7450",35453,"col","",-69.25,-26.25,"Salar de Pedernales, Profil 1, Sample 6-2",NA,"",16,"Late Toarcian","",180.1,175.6,487,"gp_mid",-20.23,-26.72,"291",1,177.85,"toarcian"
