"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"5187",28825,"col","Kossen",14.733333,47.75,"Voralpe B10",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",31.11,26.19,"307",1,204.9,"rhaetian"
"5188",28826,"col","Kossen",14.733333,47.75,"Voralpe B11/1",NA,"",7,"Rhaetian","",208.5,201.3,7658,"gp_mid",31.11,26.19,"307",1,204.9,"rhaetian"
"5189",28828,"col","Kossen",14.733333,47.75,"Voralpe B11/2",NA,"",7,"Rhaetian","",208.5,201.3,7658,"gp_mid",31.11,26.19,"307",1,204.9,"rhaetian"
"5190",28830,"col","Kossen",14.733333,47.75,"Voralpe B12",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",31.11,26.19,"307",1,204.9,"rhaetian"
"5191",28833,"col","Kossen",14.733333,47.75,"Voralpe B13/4",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",31.11,26.19,"307",1,204.9,"rhaetian"
"5192",28835,"col","Kossen",14.733333,47.75,"Voralpe B14",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",31.11,26.19,"307",1,204.9,"rhaetian"
"5193",28838,"col","Kossen",14.733333,47.75,"Voralpe B17/2",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",31.11,26.19,"307",1,204.9,"rhaetian"
"5247",29065,"col","Oberrhaet",13.166667,47.700001,"Adnet - Eisenmann Quarry",NA,"Quarry XXX, right southern part",5,"Rhaetian","",208.5,201.3,7633,"gp_mid",30.27,26.93,"307",1,204.9,"rhaetian"
"5248",29066,"col","Oberrhaet",13,47,"Adnet-Lienbacher Quarry",NA,"Quarry XII",1,"Rhaetian","",208.5,201.3,7633,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"5249",29067,"col","Oberrhaet",13,47,"Rotelwand",NA,"Lasswand, Looswand",5,"Rhaetian","",208.5,201.3,7633,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"5250",29069,"col","Oberrhaet",12,47,"Steinplatte 1",NA,"patch-reef A in Ohlen 1959, locality 1 in Stanton and Fluegel 1989",10,"Rhaetian","",208.5,201.3,7633,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
