"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"61373",124408,"col","Wargal",72.25,32.400002,"Morah, reddish marble-like Middle Productus-limestone, Salt Range (Wynne coll)",NA,"",1,"Wuchiapingian","",259.9,254.17,27310,"gp_mid",51.84,-38.58,"501",1,257.035,"wuchiapingian"
"61411",140947,"col","Raisby",-1.56,54.52,"Darlington (BMNH coll.)",NA,"",1,"Wuchiapingian","",259.9,254.17,38758,"gp_mid",21.04,26.9,"315",1,257.035,"wuchiapingian"
"61412",124482,"col","Wargal",71.144997,32.25,"Bilot, topmost beds of Middle Productus-limestone, Khisor Range (Wynne coll)",NA,"",2,"Wuchiapingian","",259.9,254.17,27478,"gp_mid",51.27,-37.75,"501",1,257.035,"wuchiapingian"
"61414",124486,"col","Wargal",72.150002,32.400002,"Chittawan, middle part of Middle Productus-limestone, Salt Range (Wynne coll)",NA,"",1,"Wuchiapingian","",259.9,254.17,27478,"gp_mid",51.8,-38.5,"501",1,257.035,"wuchiapingian"
"61415",124487,"col","Wargal",70.790001,32.259998,"Shekh Budin, Middle Productus-limestone, Salt Range",NA,"",2,"Wuchiapingian","",259.9,254.17,27478,"gp_mid",51.15,-37.46,"501",1,257.035,"wuchiapingian"
"61416",124488,"col","Wargal",72.150002,32.400002,"Chittawan, upper region of Middle Productus-limestone, Salt Range (Wynne coll)",NA,"",1,"Wuchiapingian","",259.9,254.17,27478,"gp_mid",51.8,-38.5,"501",1,257.035,"wuchiapingian"
"61417",124489,"col","Chhidru",72.199997,32.5,"Katwahi, middle region, Middle Productus-limestone, Salt Range",NA,"Kathwai",1,"Wuchiapingian","",259.9,254.17,27478,"gp_mid",51.94,-38.51,"501",1,257.035,"wuchiapingian"
"61591",124768,"col","Wargal",72.150002,32.400002,"Chittawan, Middle Productus-limestone, Salt Range (Oldham coll)",NA,"",1,"Wuchiapingian","",259.9,254.17,27478,"gp_mid",51.8,-38.5,"501",1,257.035,"wuchiapingian"
"61592",124769,"col","Wargal",72.199997,32.5,"East of Katwahi, middle compact Middle Productus-limestone, Salt Range",NA,"Kathwai",2,"Wuchiapingian","",259.9,254.17,27478,"gp_mid",51.94,-38.51,"501",1,257.035,"wuchiapingian"
"61594",124772,"col","Wargal",71.599998,32.950001,"Khyrabad, Middle Productus-limestone, Salt Range",NA,"",2,"Wuchiapingian","",259.9,254.17,27478,"gp_mid",52.26,-37.88,"501",1,257.035,"wuchiapingian"
"61595",124773,"col","Wargal",72.199997,32.439999,"Khund, middle and upper part, Middle Productus-limestone, Salt Range",NA,"",1,"Wuchiapingian","",259.9,254.17,27478,"gp_mid",51.87,-38.53,"501",1,257.035,"wuchiapingian"
"61596",124774,"col","Wargal",71.559998,32.974998,"Kalabagh, middle or upper Middle Productus-limestone, Salt Range (Wynne coll)",NA,"",1,"Wuchiapingian","",259.9,254.17,27478,"gp_mid",52.28,-37.84,"501",1,257.035,"wuchiapingian"
"61646",124836,"col","Yundoutan",110.400002,33,"Xiaoxingchuan, Yunxi County",NA,"",6,"Wuchiapingian","",259.9,254.17,47674,"gp_mid",107.16,-9.66,"611",1,257.035,"wuchiapingian"
"61647",148516,"col","Yundoutan",109.334999,33.25,"Xikou, Zhen'an County (Yundoutan Fm)",NA,"",33,"Wuchiapingian","",259.9,254.17,47674,"gp_mid",106.22,-9.66,"611",1,257.035,"wuchiapingian"
"61953",125324,"col","Marl Slate",-1.533333,54.683334,"Railway-cutting at Ferryhill",NA,"",1,"Wuchiapingian","",259.9,254.17,40667,"gp_mid",21.04,27.07,"315",1,257.035,"wuchiapingian"
"61965",125344,"col","Wargal",71.779999,32.549999,"Chidru, Middle Productus-limestone, Salt Range",NA,"Chhidru",5,"Wuchiapingian","",259.9,254.17,27478,"gp_mid",51.85,-38.16,"501",1,257.035,"wuchiapingian"
"61966",125345,"col","Wargal",72.199997,32.5,"North of Katwahi, Middle Productus-limestone, Salt Range (Wynne coll)",NA,"Kathwai",2,"Wuchiapingian","",259.9,254.17,27478,"gp_mid",51.94,-38.51,"501",1,257.035,"wuchiapingian"
"62030",125580,"col","Nesen",51.431389,36.258331,"Bear Gully section IR856bis, Alborz mountains",NA,"",1,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62031",125581,"col","Nesen",51.431389,36.258331,"Bear Gully section IR862, Alborz mountains",NA,"",6,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62032",125582,"col","Nesen",51.431389,36.258331,"Bear Gully section IR864bis, Alborz mountains",NA,"",1,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62033",125583,"col","Nesen",51.431389,36.258331,"Bear Gully section IR864, Alborz mountains",NA,"",1,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62034",125584,"col","Nesen",51.431389,36.258331,"Bear Gully section IR865bis, Alborz mountains",NA,"",1,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
"62035",125585,"col","Nesen",51.431389,36.258331,"Bear Gully section IR866, Alborz mountains",NA,"",2,"Wuchiapingian","",259.9,254.17,40791,"gp_mid",59.56,-0.3,"512",1,257.035,"wuchiapingian"
