"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"129951",188242,"col","Villavieja",-75.17,3.25,"Duke Screenwash locality CVP-5,9,10,13C Mormopterus colombiensis",NA,"",1,"Laventan","",13.8,11.8,46980,"gp_mid",-71.57,4.04,"201",12.8,"serravallian",1609,-73.0392,0.936,7
"129952",188243,"col","Villavieja",-75.17,3.25,"Screenwash locality CVP-9",NA,"",4,"Laventan","",13.8,11.8,46980,"gp_mid",-71.57,4.04,"201",12.8,"serravallian",1609,-73.0392,0.936,7
"129953",188244,"col","Villavieja",-75.17,3.25,"Duke Screenwash locality CVP-13",NA,"",1,"Laventan","",13.8,11.8,47009,"gp_mid",-71.57,4.04,"201",12.8,"serravallian",1609,-73.0392,0.936,7
"129954",188245,"col","Villavieja",-75.17,3.25,"Duke Screenwash locality CVP-13C",NA,"",2,"Laventan","",13.8,11.8,47009,"gp_mid",-71.57,4.04,"201",12.8,"serravallian",1609,-73.0392,0.936,7
"129955",188246,"col","Villavieja",-75.17,3.25,"Duke Screenwash locality CVP-5",NA,"",5,"Laventan","",13.8,11.8,62615,"gp_mid",-71.57,4.04,"201",12.8,"serravallian",1609,-73.0392,0.936,7
"129956",188247,"col","Villavieja",-75.17,3.27,"Duke Screenwash locality CVP-14",NA,"",2,"Laventan","",13.8,11.8,62615,"gp_mid",-71.57,4.05,"201",12.8,"serravallian",34355,-73.0392,0.936,7
"129957",188248,"col","Villavieja",-75.17,3.25,"Screenwash locality CVP-10",NA,"",4,"Laventan","",13.8,11.8,62615,"gp_mid",-71.57,4.04,"201",12.8,"serravallian",1609,-73.0392,0.936,7
"129958",188249,"col","Villavieja",-75.17,3.25,"Duke Screenwash locality CVP-8",NA,"",4,"Laventan","",13.8,11.8,46863,"gp_mid",-71.57,4.04,"201",12.8,"serravallian",1609,-73.0392,0.936,7
"129959",188250,"col","Villavieja",-75.2,3.26,"Huilabradys magdaleniensis LV-4-11",NA,"",1,"Laventan","",13.8,11.8,47046,"gp_mid",-71.59,4.05,"201",12.8,"serravallian",34341,-73.0392,0.936,7
"129960",188252,"col","La Victoria",-75.14,3.32,"N of Cerro Gordo - Eucholoeops 1-V-89-1 and 2",NA,"",1,"Laventan","",13.8,11.8,47046,"gp_mid",-71.54,4.11,"201",12.8,"serravallian",34356,-73.0392,0.936,7
"129961",188253,"col","Villavieja",-75.2,3.26,"Brievabradys laventensis LV-4-12",NA,"",1,"Laventan","",13.8,11.8,36463,"gp_mid",-71.59,4.05,"201",12.8,"serravallian",34341,-73.0392,0.936,7
"129962",188254,"col","La Victoria",-75.16,3.39,"Stratigraphic level A",NA,"Boreostemma IGM p183813",1,"Laventan","",13.8,11.8,47321,"gp_mid",-71.55,4.18,"201",12.8,"serravallian",34337,-73.0392,0.936,7
"129963",188255,"col","La Victoria",-75.15,3.32,"Stratigraphic Level B",NA,"Boreostemma IGM p183382, IGM p183228, IGM p183273",1,"Laventan","",13.8,11.8,47321,"gp_mid",-71.55,4.1,"201",12.8,"serravallian",34332,-73.0392,0.936,7
"129964",188256,"col","La Victoria",-75.16,3.31,"Stratigraphic level C",NA,"Boreostemma IGM p182963",1,"Laventan","",13.8,11.8,47321,"gp_mid",-71.56,4.1,"201",12.8,"serravallian",34243,-73.0392,0.936,7
"129965",188257,"col","La Victoria",-75.15,3.3,"Stratigraphic level E",NA,"Boreostemma IGM p183910",1,"Laventan","",13.8,11.8,47321,"gp_mid",-71.55,4.08,"201",12.8,"serravallian",1607,-73.0392,0.936,7
"129966",188258,"col","La Victoria",-75.12,3.29," Stratigraphic leve F",NA,"Boreostemma IGM p253101",1,"Laventan","",13.8,11.8,47321,"gp_mid",-71.51,4.08,"201",12.8,"serravallian",34346,-73.0392,0.936,7
"129967",188259,"col","La Victoria",-75.12,3.27,"Stratigraphic level G",NA,"Boreostemma IGM p184256",1,"Laventan","",13.8,11.8,47321,"gp_mid",-71.51,4.06,"201",12.8,"serravallian",1613,-73.0392,0.936,7
"129968",188260,"col","Villavieja",-75.19,3.26,"Boreostemma IGM p183764",NA,"",1,"Laventan","",13.8,11.8,47321,"gp_mid",-71.59,4.05,"201",12.8,"serravallian",25624,-73.0392,0.936,7
"129969",188261,"col","Villavieja",-75.14,3.22,"Boreostemma Stratigrphic level L - Fish Bed",NA,"Boreostemma Fish Bed",1,"Laventan","",13.8,11.8,47321,"gp_mid",-71.54,4.01,"201",12.8,"serravallian",34165,-73.0392,0.936,7
"129970",188262,"col","Villavieja",-75.17,3.25,"Boreostemma IGM p182786",NA,"",1,"Laventan","",13.8,11.8,47321,"gp_mid",-71.57,4.04,"201",12.8,"serravallian",1609,-73.0392,0.936,7
"129971",188263,"col","Villavieja",-75.18,3.25,"Boreostemma IGM p182887",NA,"",1,"Laventan","",13.8,11.8,47321,"gp_mid",-71.57,4.03,"201",12.8,"serravallian",1610,-73.0392,0.936,7
"129972",188264,"col","Villavieja",-75.17,3.25,"Boreostemma IGM p183947",NA,"",1,"Laventan","",13.8,11.8,47321,"gp_mid",-71.57,4.04,"201",12.8,"serravallian",1609,-73.0392,0.936,7
"131269",190741,"col","Sugota",140.38,39.35,"Iwaizawa, Yazawagi-mura",NA,"",9,"Serravallian","",13.82,11.62,64049,"gp_mid",137.92,39.12,"610",12.72,"serravallian",34559,137.5391,41.6932,7
"131270",190742,"col","Sugota",140.38,39.35,"Ukibuta, Yazawagi-mura",NA,"",1,"Serravallian","",13.82,11.62,64049,"gp_mid",137.92,39.12,"610",12.72,"serravallian",34559,137.5391,41.6932,7
"131279",190762,"col","Otsutsumi",140.85,38.43,"Otutumi, Kurokawa-gun (lower beds)",NA,"",9,"Serravallian","",13.82,11.62,64049,"gp_mid",138.44,38.22,"610",12.72,"serravallian",34564,141.468,39.1498,7
"131281",190764,"col","Utsuno",140.75,38.62,"Miyazaki, Kami-gun",NA,"",4,"Serravallian","",13.82,11.62,64049,"gp_mid",138.33,38.4,"610",12.72,"serravallian",34566,141.468,39.1498,7
"131394",190929,"col","",15.64,46.67,"Sentilj motorway cut",NA,"",6,"Badenian","",13.65,12.7,64215,"gp_mid",17.73,43.36,"308",13.175,"serravallian",34602,12.1327,46.7051,7
"131477",191165,"col","Sámsonháza",18.77,47.87,"Letkes, Sámsonháza Fm",NA,"",14,"Badenian","",13.65,12.7,64464,"gp_mid",20.75,44.45,"308",13.175,"serravallian",34622,15.8278,46.7984,7
"132731",194494,"col","Villavieja",-75.26,3.21,"Locality 012 Monkey Beds",NA,"",1,"Laventan","",13.8,11.8,45865,"gp_mid",-71.66,4,"201",12.8,"serravallian",34339,-73.0392,0.936,7
"132732",194495,"col","Villavieja",-75.17,3.23,"Duke locality 043 ",NA,"",2,"Laventan","",13.8,11.8,45865,"gp_mid",-71.57,4.02,"201",12.8,"serravallian",1602,-73.0392,0.936,7
"132733",194496,"col","Villavieja",-75.2,3.26,"Monkey Beds - Walton Rodents",NA,"",7,"Laventan","",13.8,11.8,45865,"gp_mid",-71.59,4.05,"201",12.8,"serravallian",34341,-73.0392,0.936,7
"132916",194953,"col","",20.53,50.66,"Korytnica, Korytnica Basin (oyster lumachelles)",NA,"",1,"Badenian","",13.65,12.7,66279,"gp_mid",21.84,48.06,"305",13.175,"serravallian",34961,15.6843,49.2966,7
"132917",194954,"col","",20.54,50.68,"Chomentów, Korytnica Basin (red-algal limestones)",NA,"",1,"Badenian","",13.65,12.7,66279,"gp_mid",21.86,48.08,"305",13.175,"serravallian",34962,15.6843,49.2966,7
"132918",194955,"col","",20.53,50.67,"Korytnica, Korytnica Basin (clays)",NA,"",3,"Badenian","",13.65,12.7,66279,"gp_mid",21.84,48.06,"305",13.175,"serravallian",15572,15.6843,49.2966,7
"132933",194977,"col","",36.08,45.23,"Marfovka, Kerch Peninsula",NA,"",1,"Serravallian","",13.82,11.62,66282,"gp_mid",36.55,42.51,"302",12.72,"serravallian",34968,34.5492,44.8047,7
