"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"130177",188798,"col","",-2.92,50.732498,"Thaumatodracon weidenrothi type locality",NA,"",1,"Sinemurian","",199.3,190.8,63390,"gp_mid",10.33,37.17,"315",195.05
"132295",192973,"col","Charmouth Mudstone",-2.925,50.73,"Charmouth burden pile (Bastelberger collection)",NA,"",1,"Sinemurian","",199.3,190.8,65606,"gp_mid",10.33,37.17,"315",195.05
"133768",196515,"col","",13.152699,47.700314,"Adnet quarry 41 (Deislbruch), Layer 10",NA,"",4,"Sinemurian","",199.3,190.8,66830,"gp_mid",31.67,30.53,"307",195.05
"133776",196523,"col","",13.103623,47.767628,"Glasenbach gorge, bed -15",NA,"",1,"Sinemurian","",199.3,190.8,66830,"gp_mid",31.71,30.6,"307",195.05
"133777",196524,"col","",13.103623,47.767628,"Glasenbach gorge, bed -5",NA,"",1,"Sinemurian","",199.3,190.8,66830,"gp_mid",31.71,30.6,"307",195.05
"133778",196525,"col","",13.103623,47.767628,"Glasenbach gorge, bed 1",NA,"",1,"Sinemurian","",199.3,190.8,66830,"gp_mid",31.71,30.6,"307",195.05
"133779",196526,"col","",13.103623,47.767628,"Glasenbach gorge, bed 3",NA,"",1,"Sinemurian","",199.3,190.8,66830,"gp_mid",31.71,30.6,"307",195.05
"133781",196527,"col","",13.103623,47.767628,"Glasenbach gorge, bed 4-5",NA,"",1,"Sinemurian","",199.3,190.8,66830,"gp_mid",31.71,30.6,"307",195.05
"133782",196528,"col","",13.103623,47.767628,"Glasenbach gorge, bed 8",NA,"",1,"Sinemurian","",199.3,190.8,66830,"gp_mid",31.71,30.6,"307",195.05
"133783",196529,"col","",13.103623,47.767628,"Glasenbach gorge, bed 14-15",NA,"",1,"Sinemurian","",199.3,190.8,66830,"gp_mid",31.71,30.6,"307",195.05
"133784",196530,"col","",13.103623,47.767628,"Glasenbach gorge, bed 15",NA,"",1,"Sinemurian","",199.3,190.8,66830,"gp_mid",31.71,30.6,"307",195.05
"133785",196531,"col","",13.103623,47.767628,"Glasenbach gorge, bed 17",NA,"",1,"Sinemurian","",199.3,190.8,66830,"gp_mid",31.71,30.6,"307",195.05
"133786",196532,"col","",13.103623,47.767628,"Glasenbach gorge, bed 20",NA,"",1,"Sinemurian","",199.3,190.8,66830,"gp_mid",31.71,30.6,"307",195.05
"135635",200112,"col","Calcaire Nankin",-1.648094,46.431625,"left bank, Payré river (4.20 m)",NA,"tracksite",2,"Sinemurian","",199.3,190.8,68164,"gp_mid",13.42,33.59,"305",195.05
"135636",200113,"col","Calcaire Nankin",-1.648094,46.431625,"left bank, Payré river (4.50 m)",NA,"tracksite",2,"Sinemurian","",199.3,190.8,68164,"gp_mid",13.42,33.59,"305",195.05
"137995",204146,"col","Lower",-1.88,51.805,"Stowell Park borehole (O. oxynotum Zone, 1441-1458ft)",NA,"",15,"Sinemurian","",199.3,190.8,69925,"gp_mid",10.51,38.42,"315",195.05
"137996",204147,"col","Lower",-1.88,51.805,"Stowell Park borehole (A. obtusum Zone, A. stellare Subzone, 1458-1512ft)",NA,"",24,"Sinemurian","",199.3,190.8,69925,"gp_mid",10.51,38.42,"315",195.05
"137997",204148,"col","Lower",-1.88,51.805,"Stowell Park borehole (A. obtusum Zone, A. obtusum Subzone, 1512-1548ft)",NA,"",16,"Sinemurian","",199.3,190.8,69925,"gp_mid",10.51,38.42,"315",195.05
"137998",204149,"col","Lower",-1.88,51.805,"Stowell Park borehole (C. turneri Zone, P. capricornoides Subzone, 1548-1578ft)",NA,"",18,"Sinemurian","",199.3,190.8,69925,"gp_mid",10.51,38.42,"315",195.05
"137999",204150,"col","Lower",-1.88,51.805,"Stowell Park borehole (C. turneri Zone, M. birchi Subzone, 1578-1602ft)",NA,"",20,"Sinemurian","",199.3,190.8,69925,"gp_mid",10.51,38.42,"315",195.05
"138000",204151,"col","Lower",-1.88,51.805,"Stowell Park borehole (C. turneri Zone, P. alcinoe Subzone, 1602-1632ft)",NA,"",24,"Sinemurian","",199.3,190.8,69925,"gp_mid",10.51,38.42,"315",195.05
"138001",204152,"col","Lower",-1.88,51.805,"Stowell Park borehole (A. semicostatum Zone, E. sauzeanum Subzone, 1632-1687ft)",NA,"",24,"Sinemurian","",199.3,190.8,69925,"gp_mid",10.51,38.42,"315",195.05
"139116",205673,"col","",124.565002,-9.861944,"Biwak Tooi",NA,"Toi",1,"Sinemurian","",199.3,190.8,70502,"gp_mid",94.59,-24.41,"680",195.05
"139121",205678,"col","",124.539719,-9.851944,"Noil Metan, between Tooi and Niki Niki",NA,"Toi",1,"Sinemurian","",199.3,190.8,70502,"gp_mid",94.58,-24.39,"680",195.05
"139123",205680,"col","",124.539719,-9.851944,"Noil Metan, between Tooi and Niki Niki",NA,"Toi",1,"Sinemurian","",199.3,190.8,70502,"gp_mid",94.58,-24.39,"680",195.05
"139124",205681,"col","",124.569725,-9.844722,"Tooi area (towards Poetain)",NA,"Toi",2,"Sinemurian","",199.3,190.8,70502,"gp_mid",94.6,-24.4,"680",195.05
"139396",206023,"col","Lufeng",102.136497,25.214701,"Dawa bonebed",NA,"",1,"Sinemurian","",199.3,190.8,70670,"gp_mid",122.24,37.42,"611",195.05
"139625",206281,"col","Lias",-2.103889,52.125278,"Webb's Pit, Bow Bridge, Pershore",NA,"",1,"Sinemurian","",199.3,190.8,70814,"gp_mid",10.17,38.65,"315",195.05
"145118",214314,"col","",63.580002,34.110001,"Site 649, Nalbandon River valley",NA,"",3,"Sinemurian","",199.3,190.8,73888,"gp_mid",NA,NA,"coordinates not computable using this model",195.05
"145119",214315,"col","",63.584999,34.110001,"Site 650, Nalbandon River valley",NA,"",8,"Sinemurian","",199.3,190.8,73888,"gp_mid",NA,NA,"coordinates not computable using this model",195.05
"145120",214316,"col","",63.59,34.110001,"Site 1022/2, Nalbandon River valley",NA,"",9,"Sinemurian","",199.3,190.8,73888,"gp_mid",NA,NA,"coordinates not computable using this model",195.05
"145121",214317,"col","",64.5,34.369999,"Site 875, Sansalaghay River Valley",NA,"",0,"Sinemurian","",199.3,190.8,73888,"gp_mid",NA,NA,"coordinates not computable using this model",195.05
