"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"76336",112532,"col","",-131.47,55.37,"George Inlet, Revillagigedo Island",NA,"75ABg201",4,"Ladinian","",242,237,36639,"gp_mid",-54.23,34.63,"127",239.5,"ladinian",21346,-87.5335,8.8885,46
"79084",116119,"col","Santa Maria",-53.79,-29.74,"Passo das Tropas",NA,"",15,"Ladinian","",242,237,37426,"gp_mid",-12.71,-35.26,"201",239.5,"ladinian",22146,-14.582,-49.0435,46
"79977",117269,"col","Santa Maria",-53.79,-29.74,"Passo das Tropas, left side of road Santa Maria-Sao Sepe at the 7.8 km",NA,"",1,"Ladinian","",242,237,37688,"gp_mid",-12.71,-35.26,"201",239.5,"ladinian",22146,-14.582,-49.0435,46
"80626",117926,"col","Santa Maria",-52.78,-29.67,"Becker outcrop, Pinheiro",NA,"",2,"Ladinian","",242,237,37898,"gp_mid",-11.64,-35.2,"201",239.5,"ladinian",22567,-14.582,-49.0435,46
"80782",118108,"col","",9.82,48.93,"Eisbachtal E of Gaildorf",NA,"",1,"Ladinian","",242,237,38041,"gp_mid",28.19,28.62,"305",239.5,"ladinian",22619,17.4803,27.7242,46
"81903",119443,"col","Falang",104.25,25.67,"Fuyuan",NA,"",3,"Ladinian","",242,237,38321,"gp_mid",107.79,-7.4,"611",239.5,"ladinian",22848,119.7653,18.7825,46
"82596",120224,"col","",18.04,79,"Mt. Tschermak",NA,"",3,"Ladinian","",242,237,38416,"gp_mid",17.14,57.83,"311",239.5,"ladinian",23003,-10.9254,48.3482,46
"82597",120225,"col","",15.67,78.5,"Mt. Saurie",NA,"",1,"Ladinian","",242,237,38416,"gp_mid",16.84,57.17,"309",239.5,"ladinian",23004,-8.0902,46.5857,46
"82598",120226,"col","",16.61,78.33,"Sassen Bay, Mountain between De Geer Valley and Flower Valley (upper saurian)",NA,"",1,"Ladinian","",242,237,38416,"gp_mid",17.3,57.11,"309",239.5,"ladinian",23005,-8.0902,46.5857,46
"82714",120369,"col","",16.6,78.31,"Mt. Marmier (upper Saurian horizon)",NA,"",1,"Ladinian","",242,237,38416,"gp_mid",17.31,57.08,"309",239.5,"ladinian",23031,-8.0902,46.5857,46
"82715",120370,"col","",16.3,78.34,"Mt. Viking (upper Saurian horizon)",NA,"",1,"Ladinian","",242,237,38416,"gp_mid",17.19,57.09,"309",239.5,"ladinian",23032,-8.0902,46.5857,46
"82716",120371,"col","",14.5,78.55,"Cape Svea (upper Saurian horizon)",NA,"",1,"Ladinian","",242,237,38416,"gp_mid",16.42,57.1,"309",239.5,"ladinian",23033,-8.0902,46.5857,46
