"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color","type"
"olenekian",3,60,45,52.5,"N",542.68,510.425,571.525,0.274087729488118,251.2,249.2,247.2,4,"Ol","#B051A5","simulated"
"olenekian",4,45,30,37.5,"N",23.64,15.475,31,0.556497175141243,251.2,249.2,247.2,4,"Ol","#B051A5","sampled"
"olenekian",4,45,30,37.5,"N",20.07908,14.69695,24.027575,0.519779311473127,251.2,249.2,247.2,4,"Ol","#B051A5","rarefied"
"induan",3,60,45,52.5,"N",508.84,481.95,542,0.25799058976231,252.17,251.685,251.2,0.97,"I","#A4469F","simulated"
"induan",3,60,45,52.5,"N",39.27,26.95,49.525,0.632163554410818,252.17,251.685,251.2,0.97,"I","#A4469F","sampled"
"induan",3,60,45,52.5,"N",26.005,21.38075,29.5302,0.538134167474058,252.17,251.685,251.2,0.97,"I","#A4469F","rarefied"
"changhsingian",3,60,45,52.5,"N",529.39,498.95,554.05,0.267863829098232,254.17,253.17,252.17,2,"Chn","#FCC0B2","simulated"
"changhsingian",4,45,30,37.5,"N",17.88,10.475,26,0.6602658788774,254.17,253.17,252.17,2,"Chn","#FCC0B2","sampled"
"changhsingian",4,45,30,37.5,"N",16.06145,10.31865,21.36655,0.635956489615364,254.17,253.17,252.17,2,"Chn","#FCC0B2","rarefied"
"wuchiapingian",3,60,45,52.5,"N",525.48,499.475,555.575,0.26690912046161,259.9,257.035,254.17,5.73,"Wc","#FCB4A2","simulated"
"wuchiapingian",3,60,45,52.5,"N",22.42,14,31.525,0.443083003952569,259.9,257.035,254.17,5.73,"Wc","#FCB4A2","sampled"
"wuchiapingian",3,60,45,52.5,"N",19.37918,13.379825,24.42235,0.415821720373165,259.9,257.035,254.17,5.73,"Wc","#FCB4A2","rarefied"
"capitanian",3,60,45,52.5,"N",517.04,485.375,549.525,0.261314761372883,265.1,262.5,259.9,5.2,"Cp","#FB9A85","simulated"
"capitanian",3,60,45,52.5,"N",31.33,22.475,42.575,0.590686274509804,265.1,262.5,259.9,5.2,"Cp","#FB9A85","sampled"
"capitanian",3,60,45,52.5,"N",23.01789,18.781175,26.832725,0.520993173730031,265.1,262.5,259.9,5.2,"Cp","#FB9A85","rarefied"
"wordian",4,45,30,37.5,"N",486.87,452.375,522.675,0.246316907821512,268.8,266.95,265.1,3.7,"Wr","#FB8D76","simulated"
"wordian",4,45,30,37.5,"N",37.25,28.475,48.525,0.527470971396205,268.8,266.95,265.1,3.7,"Wr","#FB8D76","sampled"
"wordian",4,45,30,37.5,"N",26.53601,22.915525,30.5286,0.460777093955533,268.8,266.95,265.1,3.7,"Wr","#FB8D76","rarefied"
"roadian",4,45,30,37.5,"N",463.12,435.375,493,0.235227191922065,272.3,270.55,268.8,3.5,"Rd","#FB8069","simulated"
"roadian",4,45,30,37.5,"N",59.23,47,72.575,0.752987541317061,272.3,270.55,268.8,3.5,"Rd","#FB8069","sampled"
"roadian",4,45,30,37.5,"N",29.64262,26.488225,32.424275,0.606082576563811,272.3,270.55,268.8,3.5,"Rd","#FB8069","rarefied"
"kungurian",4,45,30,37.5,"N",379.2,344.65,408.05,0.192352565208128,279.3,275.8,272.3,7,"Kn","#E38776","simulated"
"kungurian",4,45,30,37.5,"N",43.32,30.475,55,0.467364332721976,279.3,275.8,272.3,7,"Kn","#E38776","sampled"
"kungurian",4,45,30,37.5,"N",24.89541,20.840575,27.94785,0.371921279776555,279.3,275.8,272.3,7,"Kn","#E38776","rarefied"
"artinskian",4,45,30,37.5,"N",372.6,339.475,403.15,0.19027386977015,290.1,284.7,279.3,10.8,"Art","#E37B68","simulated"
"artinskian",9,-30,-45,-37.5,"S",44.11,33,58,0.363553943789665,290.1,284.7,279.3,10.8,"Art","#E37B68","sampled"
"artinskian",9,-30,-45,-37.5,"S",28.53264,24.472425,32.0371,0.315242991409015,290.1,284.7,279.3,10.8,"Art","#E37B68","rarefied"
"sakmarian",10,-45,-60,-52.5,"S",384.15,357.425,412,0.196185077370921,295.5,292.8,290.1,5.4,"Sk","#E36F5C","simulated"
"sakmarian",9,-30,-45,-37.5,"S",34.19,24.475,45.525,0.328813233314099,295.5,292.8,290.1,5.4,"Sk","#E36F5C","sampled"
"sakmarian",9,-30,-45,-37.5,"S",25.45591,20.71135,29.970925,0.31171019861432,295.5,292.8,290.1,5.4,"Sk","#E36F5C","rarefied"
"asselian",10,-45,-60,-52.5,"S",399.26,369.425,427.525,0.202912103270399,298.9,297.2,295.5,3.4,"As","#E36350","simulated"
"asselian",4,45,30,37.5,"N",25.2,15,34.525,0.3515625,298.9,297.2,295.5,3.4,"As","#E36350","sampled"
"asselian",4,45,30,37.5,"N",19.75384,13.493,24.025425,0.307798263202212,298.9,297.2,295.5,3.4,"As","#E36350","rarefied"
